# run=20260924_170918,timestamp=1790262558,balls=6,catches=8,sampleRate=25,units=milli_g,source=watch,countMode=watch_hand,detectedAtCapture=9
x,y,z
156,-12,-988
172,4,-984
168,64,-972
72,96,-1008
-108,212,-1124
268,88,-956
52,16,-924
-84,-108,-932
-112,-184,-988
-128,-204,-984
160,-100,-988
228,196,-1012
148,168,-952
172,68,-968
88,40,-956
72,48,-968
76,16,-960
72,36,-964
60,56,-996
68,32,-996
60,24,-980
56,44,-1012
60,16,-992
64,16,-984
60,28,-968
56,-4,-960
68,16,-976
72,28,-968
68,-8,-980
56,-12,-964
60,8,-968
76,-24,-984
92,-76,-972
124,-204,-960
168,-484,-988
264,-420,-892
256,100,-608
140,648,-352
-24,496,132
-192,980,792
-204,1368,704
-48,928,292
120,404,520
308,300,980
432,1220,1096
16,1896,1428
-580,3148,1596
-364,3152,1680
364,2112,1468
768,1652,1284
1168,20,700
1520,-1188,32
1788,-2436,332
1496,-2040,508
1172,-620,956
744,1376,1908
-588,3516,2404
-1684,4540,2668
-1536,4472,2888
-420,3256,2472
492,1780,1604
2156,-1512,464
2948,-2948,-340
2448,-2380,-100
1592,-936,724
960,896,2284
-1184,3032,2980
-3020,4036,3532
-2132,4524,3728
-880,3316,2928
852,1040,1264
2420,-1332,136
2828,-3148,488
1968,-2212,416
1312,-928,492
1172,576,1192
360,2020,2004
-1308,3408,2412
-1868,3976,2972
-1364,3968,4076
104,2628,3276
1044,1984,1412
1556,632,1192
1164,-720,128
436,-612,1032
820,-1228,1116
892,-1020,1268
1564,476,1792
1160,500,2344
1452,1928,1584
552,3644,808
-1168,4380,3012
-1568,4764,4292
-876,3940,3800
488,1976,2320
1432,748,1484
1796,-1060,1096
1520,-2248,940
1048,-2108,772
968,-432,-12
332,520,76
248,840,-764
-412,748,124
-1012,1344,764
-1644,2992,2492
-1208,3452,3828
-280,3892,3844
816,2572,1616
1760,620,460
2040,-1256,-204
1388,-1628,-188
356,556,324
264,364,-300
-512,-668,-604
-292,-1012,-1200
-104,1020,120
-1068,2912,3580
-740,4412,6244
-124,3844,2956
1500,3404,-764
1916,-1604,-2492
1776,-2104,-2696
2636,-1680,1292
4404,-848,5944
3264,-1264,4004
1836,1164,1736
604,-560,532
-448,1856,280
-1276,4148,1788
-1184,4884,2072
-816,5432,2828
1008,3784,1468
2656,1860,1108
3008,-344,948
1912,-1324,808
144,-980,2048
-704,-1504,1840
396,-1124,520
-248,364,1216
484,164,900
632,888,784
240,1196,1812
248,2112,3272
-84,3436,4364
284,4052,4272
1168,3064,3284
1752,-240,1260
1632,-1848,1432
1560,-3180,-888
1036,768,-60
1760,1600,1264
1952,1944,-388
696,312,-1016
60,1336,-1520
-796,1940,940
-1288,3000,5016
-908,3432,6556
-200,2368,3564
1616,2720,2180
3024,1328,1828
1808,-440,1124
-12,-196,1692
352,196,1268
780,352,1920
1028,212,2152
820,1328,-356
-244,1176,1396
-92,880,688
-280,1076,-424
-700,1252,-440
-824,2944,196
-996,2348,328
-976,2628,1576
-700,2240,1628
-532,1872,864
-904,1620,928
-540,1788,1076
-72,2152,1212
168,1648,1048
228,588,660
388,-188,404
40,-1296,668
-192,-1596,744
-152,-1352,556
-276,-984,548
-284,-480,576
-148,-228,420
-112,20,216
20,84,40
60,196,300
8,-240,1244
1228,632,-4
1280,1108,-248
1516,2048,-196
1204,2180,180
1344,2660,-360
920,2396,-1044
732,2336,-1088
516,2200,-1352
356,1776,-1216
320,1440,-1036
340,1396,-740
428,896,-780
392,856,-744
276,592,-604
236,396,-836
216,344,-856
72,316,-680
-44,120,-768
-68,164,-816
-60,112,-696
-124,-12,-796
-132,136,-868
-88,12,-876
-64,-12,-836
-72,68,-1000
-148,28,-1000
-112,-68,-972
-60,-44,-968
-48,-48,-1020
-72,0,-992
-108,0,-988
-168,-16,-980
-208,-60,-896
-116,52,-972
