# run=20260924_170153,timestamp=1790262113,balls=5,catches=23,sampleRate=25,units=milli_g,source=watch,countMode=watch_hand,detectedAtCapture=21
x,y,z
76,292,-920
36,428,-1016
32,328,-980
28,348,-984
56,384,-976
4,340,-936
12,380,-944
116,392,-988
112,328,-1080
1016,120,-708
264,264,-1000
-316,-220,-916
-288,-80,-832
-344,-184,-896
-428,-296,-932
200,-296,-860
336,508,-980
24,60,-964
28,84,-956
68,44,-900
80,16,-892
108,-48,-944
156,-116,-936
212,-312,-1004
296,-548,-1024
272,-492,-964
184,-44,-804
60,560,-284
-260,1068,616
-600,1632,728
-536,1324,264
-160,756,56
-52,208,68
84,-428,544
356,-64,1144
468,1856,1408
-88,2316,1340
-188,3144,1452
-8,2968,1332
320,2292,1524
752,1276,1084
1208,72,532
1020,-1844,1540
968,-2956,1060
732,-1264,908
448,920,1032
-252,3032,1108
-920,3728,1600
-868,4016,1832
-212,3436,2020
608,2280,952
468,472,1048
1112,-2644,-220
1372,-1844,444
1108,-1000,548
792,8,868
588,920,1388
-536,2452,1952
-1620,3104,2304
-1308,3400,2344
-548,3252,2820
448,2220,1380
464,1792,808
1032,-580,-728
868,-840,-688
440,-648,320
616,-712,544
544,-548,1336
756,-424,1864
1180,-328,1760
1000,780,1752
-300,1880,1680
-1348,3108,1232
-1948,4056,1968
-1452,4140,2900
16,2988,1956
652,1972,540
1112,924,900
1528,-1184,-160
1360,-1564,232
772,-1520,1060
576,-1476,1460
352,756,1296
136,1368,1152
-464,2000,1288
-1592,2684,2112
-1308,3204,2684
-868,3288,3344
28,2380,1772
492,2296,1000
1264,-136,688
1088,-548,-48
672,-1024,420
496,-964,872
48,-1188,1524
868,-1488,92
280,260,632
184,984,1544
-104,2424,888
-1092,2980,2056
-1144,3420,2548
-680,3364,3508
64,2536,2332
684,1880,348
1252,-88,172
1144,-1480,-208
844,-1656,160
652,-1052,864
380,-592,1140
744,-212,528
284,1000,1364
-188,1612,1400
-900,2352,1828
-1372,3244,2676
-700,3720,3492
252,3036,2444
824,2176,96
928,1220,564
1064,-1252,-888
892,-904,-720
828,-912,548
804,-708,1396
436,-420,2000
912,-292,1048
612,560,1496
648,908,1760
20,2088,1272
-1216,2876,1432
-1488,3396,1908
-1120,3784,2536
-60,3160,2540
880,1892,500
864,1068,708
1160,-560,312
912,-1176,112
972,-1336,96
744,-1092,896
676,-864,1468
1224,-60,948
-104,1608,1968
-636,2156,1636
-904,2792,2128
-1216,3392,2904
-488,3696,3544
752,2856,2032
1344,1932,232
1880,-888,-152
1660,-1764,-1472
1000,-1104,40
892,-1220,1116
736,-1256,1800
308,204,1860
268,1100,1572
68,1220,1544
-836,2184,2048
-1292,2696,1976
-1052,3344,2492
-216,3300,2548
684,2332,1216
916,1948,248
1392,-1200,-564
1348,-1564,-1260
1028,-1108,736
888,-696,1708
284,-128,2132
396,-772,608
120,592,1244
-128,1500,1236
-480,2052,1352
-728,3080,2400
-568,3616,2352
-108,3456,2356
608,2528,1616
584,1444,-292
316,-332,-272
476,-1732,-1584
572,-1328,-212
1232,-420,1300
1580,-324,2280
1520,-216,2236
848,580,1292
784,312,408
264,1068,1100
-224,1984,1120
-1076,2828,1340
-1520,2728,1972
-1164,3056,2208
-416,2932,3172
380,2164,1664
408,1768,896
880,-220,-224
804,-576,-268
664,-1012,96
660,-908,296
672,-764,928
700,-604,1524
1392,-180,464
516,856,1468
-1080,2104,1380
-1884,3000,1356
-1748,3808,3200
-752,3460,3100
48,2688,1152
504,1884,404
600,-1164,-920
92,-888,-1076
628,-624,464
1728,-228,3312
1816,-300,2208
780,-604,1016
-116,-44,496
-508,1204,172
-1128,2660,492
-1344,3976,1900
-1544,4496,2780
-244,3856,2356
700,2424,240
804,804,360
1040,-1876,-1352
1048,-1588,-228
1184,-736,1696
1404,-380,1680
480,80,2232
564,368,1132
368,1072,952
-1032,2164,912
-1604,2908,1368
-836,3892,2340
-156,3724,3028
116,2484,1292
8,1384,200
152,-1452,-1172
696,-1644,-1580
732,-752,36
1576,-488,1220
1784,408,2216
1344,-228,968
768,380,1284
372,548,984
-164,1536,596
-760,2048,864
-1544,2736,1804
-1572,3148,2920
-856,3192,3300
244,2196,1804
992,1832,332
1256,-572,-444
1308,-1256,-1016
896,-1172,96
748,-832,1260
236,-1220,1940
604,164,956
392,964,1024
140,1676,700
-372,2340,860
-1128,3024,1628
-1108,3364,2724
-532,3392,3288
276,2416,1664
756,1784,-44
784,908,512
480,-1532,-896
128,-1544,-572
228,-840,256
672,-592,896
1312,-196,1636
1448,96,1344
716,728,1896
836,608,1360
48,1256,1380
-1136,2568,748
-2132,3680,1424
-1684,4148,2724
-516,3596,2508
656,1956,936
1212,1372,1180
1972,-944,36
1336,-1520,484
64,-1808,1236
548,-1140,-556
-444,-720,692
228,636,372
316,1628,716
-168,1672,1760
-824,2704,1792
-1252,3200,2656
-652,3448,3376
212,2312,2120
1032,1332,704
1056,104,592
676,-1056,-52
624,-904,36
696,-1132,-324
816,-292,692
1224,-48,532
16,692,1156
-84,1040,288
-396,1364,500
-648,2040,1548
-1280,2576,2576
-924,3000,3716
-252,2832,3500
456,1888,1900
984,1596,840
1472,-344,608
1412,-660,-240
732,-1156,488
380,-1124,900
816,-1396,436
-232,368,864
264,468,408
240,1544,312
-120,2152,1208
-956,3000,1616
-1312,3004,2568
-912,3396,3072
-56,2516,2276
812,1904,948
1108,772,724
1248,324,252
1076,-804,412
788,-800,276
160,-1128,940
-8,-1060,1380
132,-528,956
8,-108,1092
324,1224,636
92,2128,436
-652,2948,1704
-564,3488,2548
-228,3964,3184
420,3016,2552
864,1660,516
472,672,236
296,-1956,-908
276,-1808,-468
852,-1020,436
1548,544,2208
848,40,1548
448,-184,440
68,580,996
368,584,680
260,1740,664
-864,2272,1276
-1476,2448,1852
-1120,3572,2908
-380,3468,3208
528,2136,972
560,1596,-416
568,-1364,-480
784,-860,-916
768,-404,512
652,-220,1368
880,-648,440
296,240,1416
216,564,560
236,624,168
184,1176,192
-240,1604,1020
-964,2400,2316
-836,2972,2884
-520,3264,3428
236,2628,2684
1084,1648,244
852,628,40
992,-1720,-1288
840,-1324,-456
