# run=20260609_114403,timestamp=1780998243,balls=5,catches=10,sampleRate=25,units=milli_g,source=watch,countMode=watch_hand,detectedAtCapture=10
x,y,z
-128,44,-976
-132,36,-992
-128,68,-1036
-116,120,-1108
-128,136,-1228
-180,164,-1240
-268,164,-1156
-340,-16,-988
-360,-180,-788
-368,-168,-704
-344,-144,-792
-320,-216,-684
-256,-236,-628
-180,-192,-684
-140,-192,-788
-100,-236,-780
-120,-176,-904
-64,-88,-1040
-184,-128,-984
-4,-100,-1176
-100,-28,-1068
-180,-108,-1052
-176,-184,-1072
-180,-180,-1016
-132,-156,-936
-272,-76,-972
-384,136,-1060
-120,-164,-892
132,-368,-884
320,-452,-912
192,80,-792
100,-552,-544
232,-408,-676
168,-532,-476
288,-400,-344
208,208,-172
220,684,36
420,1064,456
268,1496,952
36,1592,1056
36,1184,1096
36,980,1112
80,788,1000
60,732,1060
128,588,992
132,692,976
196,616,992
228,560,952
264,584,948
288,556,904
324,516,844
316,572,940
288,664,1140
148,1264,1584
104,1788,1992
444,1740,1996
628,1516,1792
556,1100,1380
648,664,1020
884,-1188,1120
1088,-3220,716
920,-2176,464
616,-1060,1316
984,1148,2036
-336,3196,2172
-796,3412,2636
-796,3740,2832
16,2996,2324
476,1976,1368
1016,-344,1536
1592,-3104,-84
1232,-2624,452
924,-1152,1028
748,532,1840
-252,1860,2852
-2040,2588,3332
-1404,2656,3496
-592,2016,3480
536,1300,1728
1112,1116,952
1344,100,1020
988,-1416,-936
732,-1396,-348
952,-1816,624
716,-308,1276
424,324,1672
160,1268,1772
-704,2132,2496
-1504,2144,3328
-1472,2388,4352
-516,1880,2744
592,1612,1180
1100,1200,1648
1288,-336,340
292,-376,592
636,-828,376
656,-664,1572
400,-812,2136
1176,-28,1540
776,1004,1240
548,3452,1612
-1660,4324,1396
-1672,3020,3864
-532,2844,3580
184,2156,1028
712,1588,648
1220,384,140
860,-1408,-696
492,-960,-112
956,-1360,1496
672,-1676,2064
1056,-456,1724
432,1076,2252
-1520,2776,2556
-1572,2864,3364
-816,2804,4248
-236,2532,2372
200,1996,1020
268,764,128
108,-496,-1284
-300,-132,-456
608,-864,-76
1672,-1196,1708
2288,-1216,2788
1428,-960,1100
1324,176,2012
228,376,1156
-724,1976,1864
-1224,2700,2596
-920,2592,3984
-1224,3056,4720
-264,2764,3408
1716,2652,1768
4896,-372,228
2448,-1628,-704
-604,-1916,972
-1100,-1768,1392
-76,-1944,676
668,-200,2172
460,1132,1688
-1336,1884,2452
-2096,1928,3844
-444,2196,4040
208,1560,1768
356,1444,960
1532,-984,-1584
1256,-1192,-1600
1176,-952,116
1164,-1080,752
552,-116,1792
328,316,2096
-540,1184,2000
-2008,2288,3096
-1424,2680,3844
-532,2612,3580
80,1828,1368
220,996,580
196,-448,-832
-4,-640,-812
824,-584,108
1552,-728,984
1796,-1332,1076
1476,-856,1176
1376,248,1864
384,568,1856
-1164,2140,2284
-2324,1916,2764
-2224,2568,4260
-1020,2420,3404
192,2332,1040
1076,1172,1516
2068,-1000,-472
1148,-1276,-252
560,-2000,1276
632,-1984,928
496,120,1124
48,920,2404
-1404,2480,2216
-1716,2312,3360
-828,2788,4412
-188,2256,2240
324,1616,1248
624,652,692
472,-408,-188
-160,-556,-152
8,-436,-200
172,-232,-44
572,-632,500
820,-576,1228
1052,-696,1620
864,52,2144
772,8,2044
464,1656,372
-444,2840,2960
-192,5180,3456
-1280,3468,2552
-676,2164,1712
-72,1136,720
-284,256,552
-532,-148,112
464,64,744
1220,88,1344
1068,-968,1852
540,316,1208
160,1212,-68
-84,648,332
-192,844,-60
-596,588,156
-708,440,380
-736,196,596
-604,184,700
-584,200,768
-1188,780,1452
-1388,872,2288
-1080,808,1524
-400,-404,1608
-1012,1032,1220
-368,364,408
-376,116,216
-392,232,36
-344,196,-104
-496,180,-152
-600,80,-68
-752,24,4
-564,356,-64
-580,464,-84
-420,852,-360
-340,1148,-528
-180,1148,-816
-108,868,-1028
24,736,-1168
96,532,-1156
168,372,-1072
120,316,-1044
44,300,-988
188,28,-984
100,276,-972
100,172,-980
8,116,-920
88,124,-944
56,104,-960
184,-24,-944
184,-20,-928
104,-64,-884
96,-80,-864
92,-108,-872
120,-116,-892
128,-168,-916
236,-88,-836
176,-188,-924
272,-48,-952
224,-124,-984
236,16,-924
356,4,-1020
176,68,-1020
264,120,-964
252,128,-996
264,132,-968
276,168,-944
260,172,-932
284,176,-908
248,200,-896
292,240,-928
324,248,-916
304,252,-928
364,224,-948
328,256,-924
364,260,-928
452,260,-908
460,452,-924
388,296,-960
356,452,-864
364,424,-860
340,360,-884
532,144,-820
