# run=20260924_170818,timestamp=1790262498,balls=6,catches=14,sampleRate=25,units=milli_g,source=watch,countMode=watch_hand,detectedAtCapture=18
x,y,z
-60,128,-964
-76,136,-980
-68,144,-992
-60,144,-964
-64,144,-972
-48,148,-976
-48,140,-976
-64,132,-972
-60,140,-972
280,-76,-432
8,248,-992
-192,-100,-1096
-92,136,-936
16,356,-996
-120,60,-1052
-248,-128,-980
-48,-88,-912
20,-232,-1004
4,-192,-1004
92,292,-908
-72,956,-504
-280,1504,-216
-260,1052,-84
-176,140,-12
8,392,68
244,-124,120
444,-272,400
584,144,764
788,608,1368
620,1788,1912
108,2452,2068
-108,3004,2188
-112,3212,2528
552,3024,2676
684,2460,1536
1396,-1212,52
2212,-2472,-452
2212,-1896,-68
1612,-932,220
1028,-420,668
772,404,1244
12,1512,1704
-840,2272,2120
-1420,3516,2524
-1784,4376,3272
-852,3992,3036
152,2860,1984
1756,68,540
2792,-1984,292
2472,-1792,468
1640,-1084,224
880,-460,516
588,28,840
496,728,1424
-760,1980,2068
-2508,3404,2208
-2120,4720,4364
-1060,3920,3980
1012,2436,1156
2896,532,1112
2856,-2524,-84
1728,-2044,968
1132,-528,1456
380,-32,1568
-444,360,1040
48,1220,304
-200,1940,1488
-28,2732,1972
-556,2824,3248
-528,3468,3908
112,3240,3428
1080,2324,1692
1380,2332,808
1976,-812,636
1284,-1732,-144
1172,-1996,476
1896,-1420,1616
2320,-1148,2292
1780,1076,2428
768,1012,2540
384,1584,1116
-452,3352,1708
-1200,4564,3300
-484,5168,4044
448,4128,3324
1208,2396,1360
832,1160,496
848,-2216,-1516
848,-2040,-308
2104,-1708,128
3116,-1016,1588
3372,-56,1940
2520,180,1684
1668,600,1576
292,1828,1768
-2076,3488,976
-2556,5196,3960
-2448,4656,4748
-648,3448,3276
1860,2712,1460
3420,1860,1656
3180,-2004,1736
2004,-1380,680
1776,-28,2120
916,28,2408
-60,1448,2004
420,612,1264
860,1544,1176
516,2720,1104
-444,3416,2368
-620,4028,3576
-264,4556,3728
784,3508,3196
1972,2184,960
2232,1292,1100
2068,-856,-680
1452,-1820,-328
1016,-1344,764
636,-720,2752
1516,-1028,236
44,396,2008
720,292,1236
796,1612,752
224,2464,1440
-428,3336,2440
-64,3896,3500
304,4176,3740
716,3356,3308
1548,2344,1444
1712,948,640
1672,-2092,-860
2000,-2352,-360
2504,-1160,936
2368,-368,2512
1696,-388,1452
932,84,1448
832,816,1332
24,2084,1620
-1384,3952,2476
-2236,4952,3924
-1540,4956,4564
44,3300,3072
1824,1996,1144
2516,1656,1760
2160,-1096,1308
1056,-1192,808
1244,-560,1544
980,108,2272
1272,-968,1340
280,720,2164
1152,804,1352
1504,1680,1348
1428,3340,1972
364,3712,2976
-28,4144,3640
152,4348,3512
884,3240,3044
1664,1932,1284
1872,828,1076
2148,-324,1340
1384,-1296,1164
948,-1344,1312
488,-1084,1436
1224,-2564,-160
-16,1248,1280
376,-76,984
660,908,840
520,3260,1468
-104,3400,3600
240,3724,4816
496,4128,3900
1052,2336,1796
1232,836,236
1644,-432,152
1944,-2064,-240
1488,-1476,84
1340,-296,344
1068,-196,772
1336,-320,972
808,1204,2472
-1528,2672,2748
-2492,3964,3744
-1600,4172,4852
204,3036,2344
1560,1936,1108
2348,1360,1592
2412,-1148,1504
1288,-1884,2032
1108,-1144,1772
724,352,1040
640,632,244
-472,792,1884
560,836,908
620,2656,64
4,3444,1252
-196,3960,3540
28,4976,4540
884,4044,3076
1772,2632,1488
1488,1736,1260
1260,-1672,-56
1040,-1508,-20
996,-772,532
2176,-372,1508
1828,-340,1936
1892,-724,1464
1748,-180,1844
1620,1656,2496
1028,2604,1964
-1612,5236,2372
-1948,5944,4604
-1804,6056,3464
488,2716,2992
3028,540,2368
3308,-280,2592
2208,-2648,1908
904,-1588,1512
944,-396,1000
644,40,8
720,304,360
1528,1664,-1568
1256,3092,-968
528,3736,1620
404,3148,2936
12,3624,3980
792,3044,3468
1880,2376,1880
2056,2468,1584
2208,-212,1124
1676,-1532,684
1188,-1276,1092
1168,-756,1320
1248,-592,2136
816,-468,1872
1236,600,524
836,460,840
704,1964,2436
292,3444,624
32,4192,2108
248,4180,3064
-212,3100,1348
-252,2488,1032
128,1684,852
128,1204,752
268,712,620
232,620,380
-84,-8,500
-316,-452,480
1104,208,-1172
-1204,316,2028
-200,860,400
-592,-48,-276
-780,-956,-236
-1072,-1984,84
-592,-1516,-412
-464,-780,-88
-156,-316,-56
480,36,-216
792,1036,560
796,1408,960
576,880,1628
492,1596,840
208,468,920
196,1460,1300
-80,1948,1708
436,1408,1156
556,2052,1924
40,2388,2016
72,1956,1716
344,1564,1488
480,1304,1368
672,1084,1020
564,932,676
344,864,472
256,640,324
80,376,300
36,244,168
32,-80,-104
-32,-208,-268
-68,-480,-388
-112,-464,-456
-92,-432,-692
-88,-448,-944
-68,-448,-1056
32,-248,-1328
4,-252,-1376
24,-288,-1248
52,-220,-1348
0,-224,-1088
-56,-332,-972
4,-260,-960
-24,-320,-984
-32,-284,-940
-88,-260,-876
-84,-224,-1008
-4,-180,-928
-32,-236,-852
-36,-252,-872
-60,-240,-880
-60,-200,-852
