# run=20260609_114328,timestamp=1780998208,balls=5,catches=5,sampleRate=25,units=milli_g,source=watch,countMode=watch_hand,detectedAtCapture=6
x,y,z
348,156,-872
244,44,-936
412,48,-1024
208,164,-916
216,100,-1004
348,108,-968
288,80,-928
344,64,-980
288,144,-1016
72,192,-956
220,216,-908
320,192,-952
548,48,-944
320,208,-916
236,200,-872
232,188,-864
260,184,-884
276,184,-904
328,204,-940
352,176,-960
360,184,-968
336,164,-960
344,196,-936
352,160,-936
284,220,-904
216,156,-900
312,132,-928
296,168,-936
292,168,-948
284,168,-948
284,164,-960
296,164,-940
268,160,-944
324,36,-988
420,-216,-964
592,-276,-876
448,-192,-640
388,-24,-304
376,176,-92
916,544,600
388,468,1336
-72,980,1888
44,1428,1616
72,720,1224
172,444,1436
0,1172,1712
-48,1288,1836
-84,1660,2088
268,1608,1976
480,1124,1720
472,896,1328
488,448,944
848,-396,688
856,-2284,532
828,-2428,332
808,-1352,416
560,-380,1520
640,1944,2072
-520,2884,2348
-524,3576,2636
-604,3520,3132
128,2836,2672
764,1784,1556
1168,-608,1580
1700,-2668,4
1284,-2152,80
752,-1488,312
640,-256,1080
464,1048,2552
-1624,2440,3448
-1544,2408,3104
-1172,2136,4376
-136,1484,2528
756,1432,856
1336,828,1788
1836,-1300,-912
908,-820,-500
460,-1336,1052
116,-1128,1244
416,-984,412
412,588,1732
256,1200,1780
-640,2012,2248
-1536,2228,2980
-1188,2488,4500
-324,2280,3060
708,1944,764
1068,1800,1680
1700,-520,-120
412,-964,-328
120,-928,-48
488,-976,840
640,-1200,1724
920,-884,1232
708,-352,1820
920,464,1960
500,1880,2460
-1568,3640,3004
-1208,3808,3592
-536,3348,3504
544,2088,1432
804,1556,1676
1824,-760,104
1092,-1176,-644
912,-1604,-164
420,-1336,912
532,-1240,1260
844,192,1788
404,1052,2412
-640,1912,2168
-1492,2160,2488
-1320,2288,3612
-348,2144,3776
352,1468,1736
636,1188,1176
1052,212,776
924,-752,-320
404,-616,-648
340,-848,-416
488,-524,276
820,-512,1048
944,-380,684
128,1824,2208
-2036,1964,3048
-1376,2752,2096
-1340,1680,1420
-752,1296,544
-324,1276,516
-168,724,708
180,-1376,80
-628,380,600
-576,172,-164
-436,-488,620
-888,-276,364
-472,1604,328
-992,1316,1084
-796,1172,820
-608,768,980
-704,744,1060
-896,80,572
-292,516,-260
-628,-172,136
-792,-48,332
-800,428,108
-716,452,52
-788,380,112
-688,328,272
-668,568,496
-632,548,440
-488,604,656
-356,796,820
-268,820,808
-52,1120,420
156,1092,508
120,1448,568
-20,1544,272
-92,1176,52
-240,1080,4
-184,1008,-148
-256,720,-428
-256,564,-372
-316,816,-84
-440,1004,40
-312,680,108
-108,620,92
188,560,-20
372,640,-44
600,840,-104
680,676,-100
752,772,-36
812,664,-56
776,604,-52
908,684,-36
916,692,-52
1028,656,-52
1076,720,-36
1100,700,-16
1136,656,-28
1132,500,20
1152,476,56
1176,408,40
1232,412,196
1356,792,84
1316,1024,128
1336,836,-4
1196,1060,-28
1188,956,-296
1004,936,-432
812,1016,-460
780,908,-560
700,856,-532
572,596,-636
556,504,-600
456,336,-632
476,108,-676
492,288,-680
-88,668,-420
32,300,-484
80,492,-616
236,616,-576
224,588,-440
160,544,-284
-108,584,168
-316,780,468
-96,2152,1056
-112,1660,976
-256,1008,804
-252,500,172
-356,296,-220
-424,260,-424
-336,128,-512
-324,224,-564
-300,-68,-700
-268,-16,-688
-196,-84,-728
-40,-140,-860
112,32,-968
236,4,-1000
224,-4,-976
224,4,-988
240,-88,-1060
308,-208,-1372
196,-60,-988
280,-88,-988
256,-136,-888
