# run=20260924_170236,timestamp=1790262156,balls=5,catches=25,sampleRate=25,units=milli_g,source=watch,countMode=watch_hand,detectedAtCapture=28
x,y,z
80,-84,-964
72,-56,-980
88,-72,-1008
92,-84,-992
88,-84,-1000
80,-80,-996
64,-88,-992
72,-116,-976
84,-120,-964
92,-188,-932
116,-184,-924
216,-100,-952
20,-124,-980
16,-168,-932
72,-92,-972
132,-64,-1028
212,80,-1120
-32,-252,-944
-272,-344,-920
-208,-432,-968
-328,-236,-928
224,-348,-648
412,24,-1120
68,-148,-984
48,-144,-964
36,-132,-928
32,-156,-928
32,-152,-948
36,-148,-956
28,-156,-964
36,-160,-972
36,-172,-964
24,-172,-944
52,-232,-872
64,-392,-740
132,-452,-424
136,-332,-196
288,-8,28
308,384,400
504,1120,752
388,2536,1012
64,2792,1172
56,2748,1212
280,2468,1076
380,2088,1364
532,1516,1164
744,788,660
824,-412,416
560,-1884,1380
688,-2288,1084
712,-600,780
396,1248,972
-372,3212,1176
-764,3892,1304
-604,4068,1604
132,3156,1484
688,1916,640
572,-344,1052
804,-2528,136
1040,-1948,900
1080,-748,844
948,432,920
544,1512,1192
-1124,2724,1896
-2136,3468,1968
-1264,3768,2828
-380,2544,2600
512,2064,948
1348,280,1052
1216,-728,-108
544,-792,404
252,-996,604
-80,-1352,856
688,-1112,256
324,-72,988
456,1272,1220
152,2268,1016
-1244,2984,1432
-1996,3468,2824
-1156,3436,4136
304,2056,1756
1296,1732,1024
1856,-476,796
1132,-1332,548
456,-1956,848
744,-1128,476
-132,-448,720
484,68,536
460,1932,420
-436,2216,1348
-760,3364,2072
-624,4020,3000
-28,3612,2640
756,2136,728
640,1996,84
784,-884,-324
796,-1040,-1032
776,-1220,392
1148,-908,704
1152,-1108,1988
1016,36,1892
1000,780,1100
332,696,1588
140,1576,980
-432,2248,668
-1032,3368,1328
-904,3872,2164
-148,3512,2760
604,2492,1672
800,1500,176
640,344,356
664,-1428,-700
704,-1136,-48
936,-716,684
940,-776,1244
1076,-1264,976
576,560,1308
304,1096,1188
-136,2168,964
-928,2728,2164
-1036,3244,2644
-652,3344,3360
144,2780,2916
684,2052,1000
984,912,612
776,-372,-228
412,-1584,-580
868,-1484,24
1372,-1232,952
1536,-1180,1376
1344,488,2044
700,940,2016
-244,1896,1012
-1208,2992,1076
-1428,3800,2488
-512,4352,3636
112,3004,1956
468,1720,-296
232,-840,-808
364,-1528,-1172
824,-1460,-152
1324,-728,612
2028,-276,1624
1520,300,1780
1016,712,1096
384,756,1004
-528,1764,588
-1844,2956,1404
-1608,4092,2792
-532,3756,3152
668,2428,680
1424,1528,256
1612,-480,64
1352,-1144,-128
784,-1140,716
-212,-1496,2548
120,-404,1456
-352,108,1464
192,628,1320
584,2104,592
-456,2528,1624
-884,3336,2540
-304,3660,2728
412,2988,2412
924,1948,548
872,1112,496
1180,-1248,-1068
1052,-1064,-580
924,-1592,-132
1036,-1736,448
1276,116,2288
1164,1200,2460
592,944,1560
-152,1684,1564
-952,2180,1028
-1508,2668,1292
-1256,3444,2128
-44,3432,2468
732,2300,688
644,1980,296
864,-364,360
480,-1056,-528
344,-1260,-104
600,-860,648
816,-648,1496
1120,-708,1304
808,552,1648
604,1200,1512
-116,1880,924
-1088,3120,1456
-1268,3792,2528
-516,4020,3132
180,2888,1692
484,1856,-68
496,-156,-188
564,-1676,-1160
1172,-1444,156
1472,-236,1452
968,-492,1484
1096,-36,928
564,488,1344
436,1324,980
-508,2360,984
-1204,3108,1524
-1348,3536,2540
-580,3740,2960
432,2608,1636
824,1868,-60
868,692,-84
832,-1604,-480
792,-1284,-228
952,-944,220
780,-1028,1940
1008,-800,2328
1196,380,1668
692,1088,1792
-52,1920,1004
-732,2924,1168
-1200,3784,1900
-680,4080,2672
336,3332,2192
724,1904,240
736,1640,636
700,-1760,-448
716,-1288,-244
932,-832,476
808,-480,1280
904,-792,764
528,68,1648
676,744,1268
348,1216,1092
-396,2164,1144
-1576,3072,1388
-1584,3620,2520
-620,3912,3252
468,2528,1816
1180,2240,416
1808,-628,416
1384,-844,-668
604,-1408,804
-156,-1216,1888
360,-880,828
-364,-216,1376
212,488,804
40,1464,820
-740,2316,1432
-1108,3076,1876
-536,3812,3480
320,3288,2604
820,2052,224
932,1524,392
904,-1784,-240
524,-1064,-464
384,-840,624
516,-448,1244
608,-844,1052
780,272,1032
380,660,1660
292,1512,1064
-572,2452,1116
-1304,3176,1660
-900,3804,2752
12,3560,2748
780,2208,520
960,1216,-32
828,-892,-168
712,-1448,-620
812,-1308,332
808,-632,1352
740,-1252,1884
988,536,1456
860,1072,1820
12,1912,1176
-920,2916,1072
-1280,3736,1964
-708,4060,2900
264,3020,2064
604,2056,496
724,764,200
444,-164,-120
364,-1336,-340
852,-1048,176
1216,-580,1328
1168,-208,2144
1124,-40,632
560,436,1236
324,1068,1212
-896,2484,760
-1888,3788,1800
-1664,4500,3488
-356,3500,2348
576,2392,484
1104,1156,540
1492,-984,-488
1052,-1296,360
992,-1424,972
288,-888,2420
784,-420,1324
296,416,1056
-140,1824,1204
-596,2568,720
-1292,3440,1724
-944,4064,3300
20,3360,2576
484,2048,712
924,1112,652
980,-768,-228
828,-772,228
1176,-1544,644
812,-1048,1120
644,-1044,1136
664,152,1120
152,1208,1732
-128,2344,940
-1184,3104,1904
-888,3972,3036
-80,4072,3028
484,2876,1592
496,1856,-248
-4,-500,-416
-56,-1160,-892
748,-976,44
1636,-552,1388
1876,-580,2468
2000,-228,576
1116,548,1416
796,936,1080
160,1532,536
-952,2624,604
-1632,3720,1488
-1648,4188,2676
-732,3824,2928
704,2544,1596
1444,1716,-72
1996,160,620
1752,-2012,-456
1332,-1412,564
