# run=20260924_172136,timestamp=1790263296,balls=7,catches=11,sampleRate=25,units=milli_g,source=watch,countMode=watch_hand,detectedAtCapture=11
x,y,z
948,1108,348
968,1300,360
924,1304,320
852,1400,172
748,1292,132
600,980,140
480,852,44
404,876,-104
344,868,-288
268,776,-464
188,740,-528
172,744,-576
136,608,-612
136,572,-592
164,528,-648
184,512,-696
84,368,-1064
136,568,-768
128,432,-812
40,328,-752
52,432,-796
320,576,-1092
-164,-28,-1052
-168,-8,-988
-232,-24,-844
-244,-84,-944
308,524,-1380
172,0,-956
252,-56,-872
220,32,-924
200,72,-948
200,24,-792
256,-32,-684
260,-112,-572
256,-256,-380
284,-248,-196
368,48,-108
620,304,-64
920,704,28
1088,1500,-108
984,1460,-272
888,1440,-352
808,1192,-352
868,940,-400
1004,984,-568
1124,1068,-384
996,436,168
1016,488,116
896,412,312
772,400,220
696,680,180
744,708,44
696,684,196
660,700,156
652,768,104
544,696,204
496,596,172
584,924,204
636,1428,332
736,1496,428
736,1500,544
860,1436,560
828,1184,384
580,1160,144
448,1148,108
432,1008,72
412,868,8
352,908,140
304,976,220
240,940,180
212,804,244
196,488,272
336,-108,124
348,-236,216
328,-168,464
332,548,500
-296,2192,932
-724,3300,900
-628,3232,872
-188,2764,1052
480,1424,908
708,572,860
896,-604,460
1020,-1676,60
1108,-1584,488
1124,-1016,924
1324,292,1608
444,2388,1680
-668,4220,1728
-1636,5364,1796
-1324,5272,1928
-84,4280,1920
1116,2256,1712
2152,-1244,828
2916,-3284,848
2624,-3324,888
1968,-1488,1092
1316,1188,1688
-1068,3272,2148
-3468,5212,2976
-2872,5592,2976
-1348,4216,2608
1184,1372,1500
3156,-2508,692
3644,-3280,768
2668,-2276,1012
1588,-476,1080
532,1364,1808
-2548,3452,2832
-3468,5332,4260
-2004,4552,4192
412,3604,1660
3056,92,432
3112,-1900,-40
2160,-2504,928
1016,-1884,2304
832,-556,2072
652,1200,1568
36,2164,1612
-1516,3760,2172
-1712,5168,4080
-716,4584,3952
824,3096,1248
1272,1424,576
1232,-1668,-780
1424,-1600,24
1992,-1008,1604
1920,-872,2696
1680,-856,1504
1004,236,1652
260,1636,1392
-2136,3360,820
-3428,5744,2384
-1956,5844,3832
720,4084,1680
2688,2860,2216
3064,-576,1204
2004,-692,1576
880,-8,3468
592,328,3360
376,404,2584
1592,72,1556
764,2048,1416
-772,3512,1312
-1372,4980,3964
-500,5856,4632
440,3656,1520
1632,2140,544
2148,-1096,612
1860,-2404,116
1888,-1648,928
1288,-784,2020
1104,-648,1856
204,1324,2036
-1544,3864,1132
-2396,6056,3552
-1080,5560,3880
1316,4240,136
3200,720,180
2428,-2444,-1272
1908,-1272,1232
1584,-100,4156
1388,-1668,3920
444,784,2848
680,-28,1760
652,1640,1884
-360,3996,1904
-672,5328,3312
-148,5536,3316
972,3536,1340
2136,1628,1296
2132,-944,404
1644,-1540,576
1636,-1456,620
1296,-1076,1080
1616,-836,168
-724,1276,2168
-2672,3768,1756
-3204,4560,3464
-1260,5376,3836
1456,3776,812
2212,2712,1860
1684,296,396
292,-344,708
400,-532,1544
924,212,3272
1476,584,3524
2180,848,996
500,700,2020
568,876,1028
408,1828,2244
264,4464,2360
-68,5064,2100
-216,4540,1052
-148,2764,228
-276,1748,-12
-204,1056,-100
-76,456,-68
104,428,412
776,1152,1692
768,740,1360
468,408,548
-4,304,-48
-704,672,-520
-1140,536,-908
-1312,536,-948
-1440,560,-132
-980,-248,-136
-924,316,1532
-380,800,1520
12,-1816,1176
-76,1904,2072
-280,-188,372
-292,168,236
-460,20,376
-604,-92,172
-692,-76,52
-584,-72,60
-284,68,48
172,800,184
1008,1772,-112
1580,1788,-1008
1340,1824,-132
1160,1892,-444
832,1280,-696
624,1192,-532
588,904,-720
368,756,-580
208,804,-484
212,768,-512
208,624,-516
192,452,-456
196,456,-352
200,452,-288
296,452,-252
528,548,-208
848,728,-260
1108,724,-228
1200,624,-260
1252,464,-224
1260,488,-140
1264,524,-44
1208,520,4
1200,560,0
1116,560,0
984,516,0
892,436,28
856,368,-4
840,356,-40
828,292,-36
768,316,52
764,384,-12
792,348,-112
792,256,-176
756,220,-176
788,340,-176
872,308,-188
940,320,-192
952,264,-220
988,184,-180
1032,332,-208
1268,500,-216
1332,652,16
1096,880,160
1004,820,184
1172,820,184
1276,976,276
1356,1048,268
1252,832,16
1072,700,-108
820,400,-140
600,124,-204
428,-84,-368
328,-60,-484
220,-92,-592
148,-52,-760
108,-56,-892
96,-96,-936
156,-28,-992
244,-20,-1036
300,32,-1056
324,92,-996
308,168,-924
324,128,-932
292,40,-912
224,0,-844
144,-8,-804
104,-64,-808
124,-52,-804
152,-64,-840
136,-68,-832
104,-112,-856
116,-112,-920
136,-104,-932
108,-112,-1008
112,-100,-1100
404,-296,-1120
176,104,-1276
92,80,-1108
-284,164,-1484
