# run=20260922_151455,timestamp=1790082895,balls=7,catches=8,sampleRate=25,units=milli_g,source=watch,countMode=watch_hand,detectedAtCapture=7
x,y,z
120,40,-984
328,320,-984
-1040,-296,-1464
128,-164,-900
-48,-452,-900
8,-556,-924
-172,-116,-936
96,4,-980
696,0,-1428
412,300,-1032
64,-40,-984
104,-24,-928
116,20,-904
120,24,-896
212,120,-836
316,104,-624
436,168,-564
600,248,-436
768,492,-264
972,788,-204
988,1208,112
848,1420,-60
724,1164,-60
616,1064,48
496,1144,156
428,1064,192
364,1104,228
356,956,216
368,856,160
344,1032,424
344,868,396
316,772,284
300,832,332
316,796,364
404,872,428
560,940,640
644,896,704
564,724,656
484,780,764
384,712,712
344,744,760
280,636,816
280,640,792
264,664,780
268,640,776
276,660,788
272,664,772
232,716,740
212,696,736
136,740,736
108,752,732
88,792,800
116,840,792
148,796,824
204,860,940
192,904,880
64,824,552
20,844,396
88,856,556
140,920,604
132,920,540
112,924,536
96,864,532
76,840,552
40,828,568
36,888,560
-8,884,624
-32,868,672
-32,896,700
-16,884,676
-60,856,648
-92,820,608
-100,804,572
-140,816,608
-192,812,584
-224,836,580
-248,828,592
-248,832,552
-268,856,552
-288,840,552
-304,852,528
-292,868,524
-300,852,512
-308,876,492
-304,880,500
-296,860,508
-300,888,472
-304,896,444
-312,892,440
-292,868,408
-256,840,368
-176,620,204
-44,408,256
36,328,384
76,412,384
36,840,676
-436,1924,928
-824,2788,768
-740,2752,996
-184,2292,1236
324,1624,1164
636,960,968
768,8,620
888,-844,148
944,-1588,392
984,-1328,684
1004,-264,1228
660,1740,1548
-1128,4356,1668
-2172,5316,1912
-1816,5096,1968
-372,3828,1940
956,1780,1544
2824,-2000,832
3892,-4292,620
2852,-2760,760
2164,-160,1676
1092,2312,2492
-2120,4368,3376
-3328,5732,3700
-2472,5152,3200
-412,3592,2788
1968,460,1080
3888,-1864,792
3984,-3068,508
2560,-1836,504
1536,-292,912
1036,1180,2392
-1636,3124,3372
-3920,4452,3780
-2152,5128,4364
-424,3128,3168
1440,2692,2284
3232,-780,1000
2588,-1604,268
1784,-1748,1348
728,-1592,2520
1044,-1168,1284
556,1100,1120
668,2384,720
-1072,3712,1800
-2244,4616,3488
-1316,4600,4836
80,3252,2600
1416,2164,1140
1676,416,716
1704,-1152,-636
1792,-1604,60
2112,-1128,708
1724,-532,2476
1784,-628,1904
1400,868,2212
-1220,1436,1868
-3976,4232,2240
-2800,5752,5020
-924,3832,3380
1504,1968,1372
3324,-676,1052
3276,-1936,-604
1736,-1976,-276
580,-392,672
-128,412,1428
-1180,2060,1732
-2804,3488,3032
-1684,4572,4856
-116,3408,3436
1472,2304,1200
3096,-176,-220
2600,-1344,-432
2396,-1704,540
1312,-1224,2868
996,-1528,1076
-124,972,1468
-1792,2020,796
-1952,4336,3384
-1732,4436,5576
-24,4084,3120
2248,3328,652
2480,228,-632
2300,-1864,-1404
2204,-312,1116
1828,-284,3012
384,-1460,3552
1536,-1432,1896
1372,292,2572
976,2356,1828
-704,3908,1748
-1248,5304,3024
-936,5748,3804
1128,3712,1956
3032,2404,1156
3736,-1932,476
2488,-1140,440
284,-1496,1496
-1444,-1172,2004
-1280,-340,836
-1588,1256,1304
-1640,1848,472
-1480,1852,4
-820,1392,-392
-792,648,168
-656,-60,164
-732,-644,48
-916,-888,-4
-824,-136,132
-976,604,572
-1036,688,1164
-592,624,192
-788,-280,356
-384,44,-476
-696,128,-220
-692,1408,44
-392,1180,-776
-972,1076,-264
-1180,1328,252
-988,1284,272
-1024,1404,660
-612,1248,300
-376,964,84
-444,972,308
-184,752,-280
-100,1648,872
100,1064,1300
1048,1160,1340
-140,1692,1164
764,544,332
24,540,324
-112,-68,-732
-304,-584,-324
-540,-432,264
-60,620,404
488,2092,560
-28,1656,1000
-120,1744,652
-296,1700,592
-228,1348,624
-124,1496,448
-68,1256,456
-64,1100,492
-20,1252,612
-16,1308,640
-44,1468,592
-92,1428,584
-24,1236,340
36,1284,240
92,1164,112
104,1036,0
132,980,-140
104,892,-224
96,796,-388
60,688,-508
20,648,-588
8,436,-692
-24,400,-764
-40,408,-760
-32,224,-816
-40,292,-880
-8,252,-916
8,132,-936
16,168,-964
20,136,-968
32,64,-992
4,84,-980
-20,100,-980
-24,100,-992
-36,56,-968
-36,84,-1008
-24,120,-1020
-28,76,-1000
-20,140,-1004
-8,132,-996
0,112,-996
28,148,-968
16,124,-952
128,156,-960
