# run=20260609_114455,timestamp=1780998295,balls=5,catches=10,sampleRate=25,units=milli_g,source=watch,countMode=watch_hand,detectedAtCapture=5
x,y,z
264,-28,-868
228,140,-904
48,128,-864
348,28,-896
236,140,-868
260,76,-912
280,64,-920
164,112,-952
276,92,-904
312,68,-948
232,60,-904
284,104,-940
276,140,-932
228,164,-972
192,96,-924
156,80,-916
20,40,-904
24,52,-952
56,308,-1036
516,136,-1548
636,-16,-940
208,132,-896
320,96,-940
256,96,-960
244,116,-1004
220,112,-1012
220,128,-1008
232,144,-1036
204,144,-1048
172,144,-996
164,148,-960
160,92,-932
180,136,-904
228,96,-940
228,84,-1036
240,-88,-976
268,-68,-900
288,-180,-860
356,-340,-636
368,-188,-364
324,76,-108
192,368,332
184,720,400
200,880,1156
384,1264,1296
184,980,1748
88,1392,1644
-212,1712,2068
-276,2440,1824
-28,2376,1688
464,1564,1604
508,1148,1448
644,584,1076
1108,-320,592
932,-2080,1244
608,-2728,872
800,-1308,700
716,136,1688
540,2404,1804
-760,3116,2192
-868,3964,2472
-748,3612,2644
204,2928,2128
736,1928,1368
1392,-1280,1340
1180,-2988,116
1352,-2536,564
968,-1036,740
944,192,1580
604,1748,2636
-1444,2648,3080
-1796,2536,3080
-1208,2668,3464
-324,1828,3088
712,1392,1016
788,884,988
1428,144,40
1040,-984,-420
1052,-1396,372
628,-1396,1724
600,-728,988
236,-188,852
440,924,1352
-724,2420,2204
-1280,2412,2760
-1208,2788,4580
-724,2608,3676
396,1964,1120
620,1976,1416
1468,-736,-284
788,-300,-556
1016,-1240,-120
1304,-1060,752
888,-1128,1996
384,-224,2016
228,-168,1896
356,1352,1544
-260,2352,1824
-1108,2868,2752
-696,3248,3944
60,2984,3660
604,1968,1388
600,1668,1028
864,-476,-16
516,-1236,-980
736,-1340,-696
1736,-920,816
1744,-1276,2200
724,20,1532
264,328,1772
-764,1188,1576
-1456,2280,2060
-1756,2280,3472
-1120,2300,4508
-384,1744,2892
604,1288,1084
896,488,872
1352,-600,-200
960,-492,124
888,-1072,-28
696,-936,-8
976,-588,-580
160,300,872
-660,1576,1848
-1760,2120,3076
-1296,2372,4936
-320,2168,4256
220,2152,1368
576,1760,552
972,-148,-1216
332,-776,-1636
632,-1024,-420
1288,-1244,1868
1648,-1316,2736
2020,-948,1672
1380,172,2168
1020,368,1528
-64,2004,1452
-2252,3488,2544
-1496,3700,2856
-1104,3644,3592
-60,2784,1512
628,2348,556
1660,820,620
1308,-1916,-832
1256,-1192,-248
1028,-1596,1920
772,-1308,2776
1284,-96,1712
996,708,2388
-132,2432,1916
-1568,2812,2040
-1552,3176,3024
-928,3600,3640
164,2440,1236
1056,1824,1228
2500,-1324,56
1528,-1296,-796
736,-2024,-12
120,-588,308
-328,-648,1448
-80,12,1412
648,1372,1160
-672,2080,2024
-1188,2288,2820
-864,2844,4400
-68,2356,3188
604,1728,636
352,1160,740
520,-1512,-1464
188,-708,-1544
488,-756,-36
1612,-508,2304
1912,-708,2596
1532,-828,456
708,276,1444
-600,804,708
-1252,2744,1144
-1244,2908,2596
-1424,3104,3400
-84,2992,3636
464,2000,1792
300,1816,896
736,-464,-960
388,-1228,-2096
184,-832,-1312
1344,-1244,2148
1356,-1652,4488
1440,-360,860
52,376,1800
-80,-504,564
44,436,380
20,2020,724
-248,1932,1412
-336,2656,1500
-652,2356,2236
-900,2468,2292
364,2132,2596
620,2224,2052
460,1732,336
-412,288,-384
108,-668,-1400
836,-104,-720
1496,-484,676
1744,-764,936
1376,-1144,2876
956,-88,1960
1512,-388,1432
272,512,268
-604,-1056,60
-80,2808,1576
372,5796,1580
-1060,4644,1012
-704,2644,864
108,1572,664
1004,152,600
696,-576,792
-180,-832,1260
-644,392,780
-1356,792,260
-1356,1044,-1700
-652,104,-2272
-1732,1008,-724
-1208,248,-740
-860,176,188
368,460,1276
2496,936,3176
1280,656,3608
992,592,2556
1276,176,1332
1184,516,232
852,536,-424
440,512,-408
28,220,-348
-328,188,-464
-640,584,-572
-308,1096,-540
-248,1364,-756
-300,1280,-840
-292,1216,-840
-84,1052,-988
4,700,-1044
28,568,-940
72,680,-872
128,356,-940
152,232,-876
168,336,-920
248,140,-972
280,48,-936
272,104,-884
344,-288,-600
260,240,-872
-208,16,-688
564,-96,-924
156,-420,-836
252,-20,-868
304,-100,-932
296,-224,-904
224,-112,-848
260,-116,-908
184,-268,-924
212,-188,-940
192,-208,-944
200,-176,-900
196,-216,-916
216,-104,-928
132,-64,-908
200,-64,-936
220,-36,-944
148,-72,-888
172,-16,-912
212,104,-920
172,-8,-964
192,88,-952
120,104,-952
