# run=20260924_171333,timestamp=1790262813,balls=6,catches=33,sampleRate=25,units=milli_g,source=watch,countMode=watch_hand,detectedAtCapture=32
x,y,z
260,68,-700
184,64,-812
184,4,-916
212,-16,-876
200,-56,-856
260,-128,-960
336,-108,-1012
440,-8,-928
456,-192,-1156
204,-272,-972
-44,-152,-772
-176,-280,-772
-176,-268,-816
192,-228,-920
716,216,-1000
264,-152,-872
220,-136,-836
188,-244,-816
108,-312,-816
120,-244,-820
52,20,-656
56,600,-508
220,992,-348
196,1188,-84
92,1328,188
48,1364,312
32,1272,400
-8,1120,464
-52,980,444
-116,872,516
-160,824,668
-220,908,792
-208,856,804
-224,864,836
-336,1020,824
-300,1076,856
-268,992,704
-276,1028,440
-308,1108,384
-168,1096,408
-80,1000,348
-60,1008,300
-88,896,352
-44,636,124
48,300,0
168,-52,160
296,-112,280
404,236,680
388,1184,1124
-320,2896,1244
-776,3392,1220
-380,3032,1352
104,2220,1456
672,1024,1100
1032,-724,356
1436,-2088,-48
1620,-2132,216
1260,-984,672
764,896,1504
-376,2952,1948
-1608,4248,2216
-1536,4636,2468
-672,3632,2348
252,2544,1844
1528,-492,840
2500,-2652,324
2384,-2620,140
1588,-1572,316
1164,-92,1196
504,1776,2384
-1464,3044,2380
-2640,3712,2796
-2020,4400,3048
-760,3288,2580
348,2088,1656
1416,-232,624
2136,-1920,476
2224,-1824,584
1620,-1372,612
984,-628,804
944,544,1088
264,2012,1816
-1772,3632,1968
-2328,4648,2788
-1436,4332,3908
192,2480,2276
1572,1692,792
2080,-812,528
1884,-1248,148
992,-1496,932
348,-1280,1168
768,-968,664
176,428,1036
-64,1936,1120
-1312,2800,2252
-1544,4136,4088
-712,4204,4332
1024,3280,1812
2268,3016,1256
2976,300,1520
1856,-720,236
1652,-1052,1496
884,700,3436
896,600,2400
264,268,2440
896,1400,1944
1032,2128,1028
112,3416,1116
-968,4924,1548
-592,5668,3028
784,4300,1828
1988,2288,1124
2992,-284,1140
1936,-1452,364
288,-1816,924
140,-1740,312
-1176,-396,1376
-340,-652,1044
916,568,636
1088,1600,1236
744,1792,2460
12,3244,2492
-816,3808,2404
-456,3744,3012
880,2432,2880
1616,680,860
1508,-400,1248
2016,-872,-560
1440,-1016,-304
728,-704,352
1016,-1300,-400
-4,200,932
304,620,356
-40,1764,1276
-1104,2852,2144
-1448,4136,3428
-688,4084,4672
760,2836,2684
2012,1808,784
2128,-656,188
1580,-1888,-264
1300,-1692,-500
796,-560,1464
48,8,2092
908,-772,504
76,652,1272
248,1384,836
-176,2064,1484
-1132,3132,2616
-868,4120,3372
-392,3968,3596
1156,2880,1708
2084,1788,504
2168,-1000,1248
1332,-1176,568
604,-1380,1300
324,-540,3208
396,328,2884
1252,104,856
676,908,-240
420,1492,-1184
-124,2796,-980
-1164,3804,336
-1232,4256,3420
-272,4036,3700
1624,2140,1492
2024,600,1028
2412,-1668,76
1448,-1604,128
384,-1240,-20
308,32,-440
-636,-544,-152
-24,-352,-444
584,636,320
200,2304,1836
-596,2656,3440
-644,3928,4632
164,3520,3988
1644,2144,716
1892,1524,768
2064,-1304,-508
1080,-1320,500
312,-820,1540
-480,-208,2036
492,-828,348
-624,44,1344
-284,-408,1084
420,176,376
336,1652,1176
-56,2292,1876
-352,3152,2048
-452,4252,3032
556,3856,2728
1204,2212,880
1152,1736,512
1328,-2052,-352
1076,-1760,-1004
896,-1240,424
1136,36,1588
952,-24,1512
1160,116,1200
56,704,2136
-12,916,1352
-596,2452,808
-1332,3308,2016
-948,4368,3216
-184,4004,3084
904,2148,1364
1220,1232,632
1388,-1600,-8
1352,-1504,-544
1516,-1020,428
1508,-220,1440
1596,-184,1580
896,60,2240
-148,1308,2388
-988,2924,1076
-1596,3600,2204
-1352,4512,3456
-188,3716,2504
916,2180,1048
1820,1640,1604
1984,-1312,200
1220,-1580,496
796,-1124,1408
1164,-608,1180
-336,444,1496
172,-12,1060
616,1196,528
548,2124,1428
-160,2644,2232
-376,3592,3008
-16,4204,3656
680,3084,2312
1412,1504,184
1672,-552,744
1720,-1968,-648
1092,-1436,688
544,-524,756
1044,-732,24
16,40,1720
-120,704,1552
-400,1880,1564
-836,2608,3080
-468,2944,4152
96,3396,3712
1036,1924,1872
1588,232,4
1836,-24,1412
1756,-1496,-40
656,-1004,364
-148,-412,212
44,-1328,-944
-148,192,368
-536,808,608
-392,1484,1464
-552,2416,2700
-220,3488,3848
272,3476,4232
1132,2224,2192
1240,1532,308
1380,-648,60
1204,-1428,-728
844,-1156,168
1132,-512,592
1112,20,1832
772,-108,1648
860,-420,864
220,1000,1692
-512,1952,1480
-1436,3036,2036
-1376,4116,3896
-680,4084,4016
468,2692,2056
1636,2060,1180
2392,-104,1032
