# run=20260923_223021,timestamp=1790195421,balls=5,catches=15,sampleRate=25,units=milli_g,source=watch,countMode=watch_hand,detectedAtCapture=14
x,y,z
56,-12,-972
52,-4,-964
60,-12,-984
36,-12,-968
44,-8,-988
48,-8,-992
48,-16,-984
48,-24,-980
48,-16,-992
44,-24,-988
40,-20,-984
52,-8,-972
40,-16,-988
44,-16,-988
112,-36,-976
208,28,-1028
-140,416,-1528
-8,-116,-1024
-180,-24,-900
-96,-96,-956
-136,-428,-924
-236,-456,-944
-568,-308,-948
144,160,-984
484,108,-1104
-20,24,-1064
40,-76,-1024
60,20,-988
24,12,-1008
20,-76,-1016
32,-120,-1028
60,-244,-1024
100,-312,-1044
112,-192,-916
48,88,-772
-44,484,-656
-112,500,-640
-116,832,-604
-128,1256,-320
-196,1216,-100
-224,1044,68
-172,1028,104
-168,1016,244
-132,960,372
-116,868,356
-92,828,364
-96,820,372
-92,844,408
-76,864,408
-88,932,404
-64,932,424
-40,932,456
-16,960,448
-4,972,472
28,980,504
44,1008,512
52,1000,504
52,992,520
60,972,504
60,956,504
64,944,484
64,928,492
84,876,504
96,780,504
152,672,420
200,660,412
168,980,664
-152,2060,972
-240,2620,1068
148,2520,804
296,2132,1032
460,1496,964
724,564,616
776,-552,616
764,-2012,1024
792,-2092,1008
748,-944,784
628,876,824
60,2544,724
-296,3556,1004
-316,4208,1088
-248,3836,1260
472,3068,1104
776,2000,484
700,-340,992
1076,-2228,464
1192,-1928,1016
876,-944,900
736,236,728
376,1800,1360
-776,3508,1792
-1288,3696,1856
-720,3820,2172
272,2652,1780
952,1328,40
948,568,640
1100,-1076,-680
620,-1212,8
336,-912,1060
132,-852,1592
520,-448,1084
748,1212,1136
-16,2236,1260
-840,3044,1300
-1076,3828,2112
-372,3868,2204
332,2132,764
448,1904,692
1228,-508,168
848,-688,40
428,-936,276
256,-736,444
20,-916,916
148,-572,672
348,276,764
-528,2264,1348
-1136,3460,1720
-1016,4244,2844
-224,3468,1968
360,1820,216
608,716,424
804,-980,-620
744,-1028,-192
1052,-1184,640
824,-648,1572
392,-180,1536
664,480,796
-196,2120,1644
-596,3220,1452
-1056,4196,2368
-496,4084,1652
224,2312,316
804,936,472
1432,-1036,-264
1012,-1344,316
516,-1240,424
284,-572,528
156,128,468
-516,1112,1312
-920,2704,1900
-768,3604,2664
-432,3644,2656
296,2452,708
532,1644,-12
820,-180,80
1024,-876,-200
1012,-1424,348
484,-1312,1136
52,-844,1428
420,92,1292
480,1444,2016
-216,2292,1552
-884,3000,1164
-796,4000,1888
-100,3712,1512
308,1792,-20
112,1376,644
856,-1168,-460
736,-960,-396
528,-656,604
700,-700,1016
676,-780,1020
584,736,1068
-216,1564,1380
-1104,2576,876
-1464,4228,2092
-576,4184,1948
176,2428,-176
692,1492,396
1108,-1488,-828
1052,-1420,-152
648,-1016,1364
400,-656,1776
840,316,1636
192,1580,1592
-668,2360,992
-1396,3332,1228
-976,4228,1856
88,3280,920
880,2204,112
1580,-128,736
1316,-436,-124
380,-1372,1176
-388,-1328,1336
232,-1244,552
-248,-332,1284
244,1388,800
-436,2920,916
-1124,3812,2036
-452,4520,2008
188,2736,588
484,1788,200
1056,-712,336
1324,-1012,-216
984,-1248,752
512,-724,1100
104,-1052,1412
-100,1020,900
-920,1968,1212
-860,3192,1320
-652,4204,2044
-264,3732,1532
540,2008,4
736,1136,548
1084,-1004,-176
920,-800,156
396,-876,820
-64,-1028,1424
212,-1028,932
428,872,1064
-444,2392,1620
-664,3212,940
-1152,3968,1492
-368,3884,1452
592,2144,176
732,1140,616
1020,-448,216
744,-928,-80
128,-1032,620
-96,-1072,844
612,-1272,44
-328,568,1248
-380,1916,776
-992,3384,852
-760,4628,2528
56,3484,1348
204,1804,-664
12,928,100
484,-1308,-1544
844,-1384,-128
1404,-576,1776
1340,-124,2456
1100,60,1400
224,984,1552
-912,2012,860
-1648,3192,508
-1384,4484,1592
-388,3760,624
316,2480,-212
1240,228,472
1420,-908,-576
996,-1420,768
344,-804,2024
256,-704,1776
80,672,1512
-420,1552,1404
-764,2504,648
-1420,3788,1372
-556,4448,1792
260,2832,388
440,1836,308
820,-376,-64
808,-944,-448
744,-1436,328
708,-616,736
260,228,1716
236,772,1104
68,1872,644
-984,2124,1344
-1032,2076,368
-736,1916,-24
-740,1448,96
-468,920,-60
-380,564,-8
-76,360,-360
-616,1036,1000
-556,1080,936
-424,232,1648
-560,1732,1280
-8,-44,424
-304,1076,704
-384,804,452
-368,692,96
-404,660,28
-444,584,16
-552,592,100
-608,608,124
-620,772,120
-712,924,264
-696,956,300
-700,1088,224
-544,1048,144
-504,992,128
-428,1008,-48
-372,948,-144
-340,908,-152
-308,876,-208
-300,804,-280
-332,784,-332
-328,764,-424
-312,740,-452
-320,732,-524
-284,612,-640
-272,544,-648
-212,560,-732
-96,492,-776
-24,532,-832
68,480,-924
160,400,-968
168,412,-992
224,432,-1012
224,280,-1020
212,292,-964
228,260,-976
220,300,-1000
220,212,-1000
228,220,-968
296,184,-1016
144,348,-968
176,232,-976
112,480,-1300
244,92,-848
168,224,-948
136,228,-1008
128,212,-988
116,200,-964
124,212,-980
124,204,-984
112,184,-964
112,200,-968
96,212,-964
96,208,-964
96,204,-968
112,212,-980
104,196,-976
