# run=20260924_170001,timestamp=1790262001,balls=5,catches=12,sampleRate=25,units=milli_g,source=watch,countMode=watch_hand,detectedAtCapture=11
x,y,z
104,-188,-956
156,-132,-948
188,8,-956
164,-220,-1072
152,-428,-1100
-88,-116,-888
-240,-248,-872
-336,-400,-904
-164,-568,-1020
708,232,-1000
60,-192,-1024
60,-204,-1012
44,-152,-932
32,-220,-860
-8,-436,-632
16,-540,-216
112,-476,68
456,-40,100
700,588,96
668,2416,372
-20,3876,836
128,3684,812
764,2432,904
792,1788,1252
1048,856,820
952,-716,916
416,-2600,1484
572,-2224,1136
660,-624,1332
480,1540,980
-456,3444,1052
-1100,4356,1436
-452,4244,1420
248,3256,1404
828,1620,656
740,-1484,1048
1076,-2624,304
1104,-2072,736
1100,-452,1068
1016,1044,1372
-76,2296,1904
-1504,3248,2244
-1504,3516,2564
-692,3280,3096
416,2028,1664
788,1424,808
1136,136,324
692,-456,276
452,-1100,-128
404,-780,228
324,-704,1128
504,-1356,1356
572,304,744
368,668,1372
140,2316,1156
-684,2784,1580
-1520,3408,2308
-1224,3804,3348
-44,2912,2780
1032,1696,684
1340,1156,876
1496,-676,-104
1144,-760,152
880,-1464,492
300,-1244,1096
616,-1112,836
356,620,852
-164,1472,1540
-1032,2456,1744
-1604,3156,3112
-932,3748,4308
236,2844,2476
1272,2280,160
1460,1408,624
1000,-688,-808
524,-304,-648
632,-532,644
1020,-468,2532
948,-1120,2316
548,88,2468
484,-116,1544
572,584,1392
556,1944,1684
-200,3052,1600
-868,3832,2376
-324,4312,2992
352,3556,2644
1016,2136,816
944,1444,304
500,-1476,16
600,-1088,-696
720,-976,4
672,-564,580
760,-836,1384
1284,-528,1232
844,1112,1896
444,1272,1312
-300,2264,1116
-1504,3164,1888
-1532,3904,3092
-404,3308,3320
812,2188,808
1264,1400,680
1564,-1044,-728
1172,-916,-444
688,-1552,368
180,-1020,1568
812,-1008,1004
448,344,1568
52,1220,1412
-396,1864,1712
-1180,2356,2116
-1232,3008,2832
-436,3384,3624
500,2352,1684
956,2208,1136
1536,40,700
948,-616,-120
400,-456,204
356,-684,1000
296,-840,2248
816,-1220,2352
424,808,1412
468,428,1784
312,2260,1536
56,2672,1352
-880,3752,2576
-480,4064,3032
308,3760,2712
968,2192,744
828,1308,-88
268,-1252,-392
168,-1824,-528
872,-1020,100
1116,-508,1172
1280,-212,2032
1456,-168,1408
952,852,1600
548,1176,1284
-408,2312,648
-1560,3260,1416
-1652,3984,2400
-620,3796,2948
504,2216,1336
788,1872,908
1492,-632,52
1156,-1104,-436
676,-908,248
456,-856,380
320,-532,744
60,-580,1284
944,-412,476
216,1472,1644
-432,2420,1564
-1248,2824,2192
-1200,3640,3460
-156,3504,3188
892,2288,1124
888,1748,320
1128,-1548,-548
924,-1168,-1084
736,-1008,512
768,-352,1496
320,-396,1788
820,-940,704
364,480,1256
192,1132,1316
-460,2440,1488
-1044,3060,2360
-600,3864,2812
288,3728,2668
904,2516,1036
600,1608,-196
436,-1228,-708
508,-1864,-1236
1072,-1832,-552
2228,-1308,1580
2056,-212,3312
1388,-144,1532
832,56,1540
852,908,1412
380,2300,1180
-184,3136,1132
-836,3880,1532
-944,4152,2364
312,3364,2644
1344,1760,740
1116,1628,756
1216,-852,452
924,-1228,-204
620,-1512,160
452,-768,520
68,56,1480
752,-120,248
36,1260,1124
-396,1436,1260
-560,1688,940
-988,1932,1096
-800,1924,1008
-420,1896,668
-368,1464,464
-288,1084,336
-268,664,412
-492,856,664
-556,1224,1268
-460,1328,1360
-348,1236,1716
-188,696,172
-216,756,332
-328,116,-28
-472,-36,-36
-584,-24,24
-612,-36,44
-652,88,28
-632,236,-24
-588,536,-136
-612,704,-140
-600,712,-128
-544,812,-272
-484,760,-432
-420,852,-480
-324,872,-668
-196,896,-728
-88,844,-816
16,600,-976
48,492,-1036
40,560,-1000
40,600,-1036
168,548,-1084
228,440,-1100
268,392,-1084
268,292,-1084
196,180,-1020
140,184,-980
96,84,-968
92,36,-928
88,84,-948
68,32,-944
60,-36,-948
48,-20,-912
40,-68,-924
64,-136,-932
60,-52,-992
44,-72,-996
24,-60,-976
-20,-32,-980
16,-76,-992
-4,-120,-964
-8,-72,-976
8,-68,-1008
