# run=20260609_103537,timestamp=1780994137,balls=3,catches=19,sampleRate=25,units=milli_g,source=watch,countMode=watch_hand,detectedAtCapture=25
x,y,z
188,476,-700
320,2072,2152
380,1272,492
56,1328,984
212,-252,620
-8,-140,-80
-212,-244,36
-268,-144,368
-84,172,188
-40,176,180
-212,40,280
40,-84,-440
32,376,-36
-372,332,564
-232,1356,984
-216,916,1400
-412,1600,1908
-520,2060,2376
-60,2360,3096
116,2100,1736
180,1124,64
-32,1160,1188
532,-296,-44
-40,184,-4
-180,-64,-48
-356,128,76
-392,28,56
-452,56,116
-464,132,136
-460,0,312
-580,-104,540
-4,292,-80
-280,192,324
-372,708,960
-156,1196,916
-44,1040,960
-268,1700,1524
-380,2088,1956
-48,2436,2432
176,2324,2044
260,1356,268
-52,1412,468
92,-584,4
-180,-140,-544
-152,-240,-300
-132,-184,148
-56,24,536
44,108,684
168,184,868
112,108,1100
292,304,904
216,596,1324
24,792,1404
-80,1360,1292
-504,2020,1364
-744,2308,1796
-320,2416,2160
100,2092,1460
176,1252,232
20,1228,868
500,-332,-144
204,-100,-440
8,-344,-52
-84,-356,252
-116,-188,460
-104,-40,660
-88,-44,772
140,28,820
52,596,1344
52,852,1528
40,980,1612
-248,1560,1892
-460,1956,1916
-224,2056,2332
200,2060,2044
256,1424,584
116,1112,580
236,116,420
132,-236,-124
-32,132,-44
-68,-16,164
-188,104,404
-220,24,252
-364,96,232
-324,172,164
-248,260,264
-176,556,588
24,524,924
88,1076,1344
-236,1340,1988
-264,1292,2320
-272,1728,2352
64,1896,2388
240,1508,1132
240,1032,-316
-236,1036,944
304,-596,-644
-176,12,-516
-256,-196,-288
-236,-12,424
-100,-16,700
72,280,928
196,332,900
312,152,964
352,628,1348
8,1012,1572
-420,1448,1404
-668,1780,1500
-452,2140,2044
-60,2148,1720
64,1448,180
-76,1260,332
44,412,432
92,-428,-140
-120,24,56
-80,-84,372
-216,-188,840
-212,-160,604
232,-76,272
176,612,1064
-100,1264,1508
-324,1796,1352
-536,1892,1912
-220,2180,2168
176,2044,1428
212,1124,16
-172,1260,984
276,-604,188
-136,224,-28
-256,8,-28
-484,-24,368
-420,-148,336
-276,-44,232
-24,-76,100
116,560,632
28,952,1248
8,1096,1456
-240,1652,1696
-344,1788,1876
-116,1880,2248
228,1936,2212
392,1216,648
-44,1316,924
532,-496,-192
212,112,-560
-72,-340,-328
-316,-232,188
-280,-188,396
-92,76,432
236,-16,468
68,536,1164
64,496,1412
96,1060,1420
-60,1268,1436
-208,1612,1532
-276,1984,1856
-40,2112,2308
296,1976,1664
204,984,484
24,1016,960
700,4,4
112,84,-84
-216,-76,36
-588,-4,200
-616,-104,112
-652,100,172
-576,-52,156
-584,-88,224
228,-104,-408
-224,448,556
-76,636,928
100,904,916
-16,1076,1424
-156,1392,1784
-244,1880,2020
-144,2044,2416
164,2088,2428
440,1432,656
212,1080,376
188,300,528
232,-404,-460
-128,-56,-316
-296,-264,16
-208,-88,324
-200,20,652
-148,24,568
-56,128,444
188,236,672
36,684,1212
180,848,1244
188,1164,1300
152,1228,1564
4,1716,1572
-180,1816,1644
-72,1908,2000
408,2012,2360
584,1592,1120
368,764,-56
-140,1056,1336
556,-816,-244
-24,4,-292
-272,-464,-44
-404,-248,232
-316,-100,112
-336,88,248
-248,32,312
204,244,228
-20,792,1168
-28,724,1200
100,832,1116
160,980,1172
108,1040,1300
68,1288,1340
-112,1616,1504
-196,1880,1800
132,2124,2348
436,1924,1588
408,1132,16
12,1016,580
248,-168,120
52,-308,-268
-116,-40,-168
-140,-104,104
-184,156,440
-224,80,572
-256,48,492
-148,196,376
84,136,376
80,544,820
40,968,1176
48,916,1368
140,1120,1484
176,1344,1512
88,1472,1312
-52,1780,1420
-28,1884,1692
348,1956,2152
688,1644,1572
564,956,92
224,892,864
548,-108,160
148,-48,-124
-168,-132,-152
-376,-268,56
-496,0,288
-472,40,432
-296,-224,224
-332,-60,212
-224,528,616
-216,596,964
-56,604,1100
148,824,1168
212,1040,1336
152,1296,1304
80,1484,1544
104,1660,1820
184,1728,2092
460,1716,2340
544,1388,968
276,992,364
140,528,932
420,-480,-172
-36,96,-172
-400,-152,284
-396,12,420
-488,56,344
-280,-164,-240
-512,264,-132
-536,516,-8
-420,444,20
-304,440,656
-140,444,1108
148,636,1232
228,892,1332
72,1160,1540
-192,1388,1804
-192,1632,1956
68,1936,2372
328,1788,1616
328,1204,-124
64,1104,548
344,-356,-16
-8,-296,-152
-148,-416,-240
-380,108,768
-316,268,1152
-280,44,792
-504,640,488
-708,400,504
-432,432,456
-232,616,500
-140,640,644
-52,824,760
-8,992,980
-32,1112,1216
-112,1500,1440
-156,1768,1760
76,2012,2300
384,1900,1684
456,1148,-32
-32,1508,716
320,-484,260
-40,-284,-348
-248,28,-176
-496,28,352
-436,252,612
-448,248,764
-492,140,668
-216,-140,136
-264,640,268
-284,732,472
-192,680,620
-48,792,740
16,944,924
52,1036,1012
40,1112,1168
-32,1384,1288
-192,1648,1588
-156,1752,2088
236,2020,2140
416,1432,608
256,1000,-108
-8,960,728
336,-836,-508
-148,152,-296
-320,116,168
-408,280,1084
-392,-180,1084
-192,116,552
-440,600,732
-516,496,588
-420,796,452
-432,888,452
-420,940,612
-320,1056,652
-304,976,740
-284,956,776
-276,936,736
-228,972,756
-180,972,744
-140,1000,716
-88,944,644
-76,948,636
-88,928,636
-104,876,644
-80,836,680
-84,812,712
-72,796,724
-96,772,716
-100,764,728
-120,736,700
-132,768,716
-156,800,728
-196,832,688
-232,888,656
-288,932,604
-296,964,496
-256,928,316
-232,944,244
-212,956,212
-176,984,116
-160,1052,24
-136,1052,-24
-88,1028,-192
-80,936,-428
-8,848,-500
-20,800,-580
-8,756,-676
-16,692,-760
-20,616,-776
-16,604,-812
-24,492,-864
-48,448,-884
-88,432,-740
120,360,-916
-124,488,-904
-164,436,-896
-260,404,-920
-240,368,-936
-156,308,-964
-120,280,-964
-140,304,-968
-128,260,-940
-128,236,-916
-160,244,-916
-196,220,-952
-240,216,-960
-252,220,-948
-224,180,-932
-204,136,-948
-208,76,-924
-200,52,-936
-160,44,-952
-128,20,-964
-112,8,-972
-80,-16,-956
-68,-44,-984
-24,8,-1084
-84,-140,-844
-44,48,-996
-72,-164,-988
-56,8,-984
-72,-88,-964
-68,-12,-976
-48,-56,-956
-40,-32,-972
-28,-28,-964
-36,-40,-976
-24,-32,-980
-16,-44,-984
-24,-24,-992
-16,-32,-996
-28,-32,-992
-16,-24,-996
-12,-32,-988
4,-4,-988
-20,-32,-992
0,0,-984
-12,-40,-972
0,-44,-976
-16,-48,-984
0,-44,-972
12,-68,-996
-20,-44,-968
-4,-40,-988
-4,-52,-984
0,-32,-988
4,-40,-984
-16,-32,-976
