# run=20260924_170706,timestamp=1790262426,balls=6,catches=11,sampleRate=25,units=milli_g,source=watch,countMode=watch_hand,detectedAtCapture=15
x,y,z
60,248,-976
28,204,-992
152,248,-788
-80,188,-952
40,160,-936
-84,20,-928
-12,-4,-940
-16,-4,-1008
304,68,-1004
188,-128,-980
144,-112,-948
164,-124,-1016
168,-172,-996
128,-284,-896
68,-420,-848
72,-244,-700
40,76,-656
20,364,-496
0,828,-192
0,1456,-72
-96,1644,112
-140,1332,320
-136,1248,372
-204,1336,688
-188,1416,872
-80,876,892
0,800,508
36,452,220
60,-56,-64
196,-240,-48
448,-580,44
692,-384,280
820,108,868
900,708,1664
268,2600,2436
-276,2692,2716
-420,3096,2780
-28,3184,3320
520,2984,2632
792,1336,892
1792,-1832,-388
3108,-2684,-220
2832,-2164,-76
1760,-1192,316
1032,200,1384
-20,1724,2480
-1332,2776,3288
-2056,3836,3936
-1612,4496,4036
-388,3568,2664
1480,1060,492
3312,-3000,100
3672,-3404,-76
2636,-1620,648
1620,112,980
444,1608,2204
-1360,2828,3076
-2180,3268,3868
-1840,3628,4380
-548,3112,3752
988,1896,1096
1556,684,804
1736,-1560,-400
1232,-1580,44
1220,-668,32
1172,-940,776
1288,-1456,800
1036,8,1252
304,972,844
-928,2744,964
-932,4320,2932
-804,4356,4776
-344,3924,3692
516,2380,1868
848,732,-64
640,-1172,-1028
1084,-2184,-504
2116,-1024,608
2412,-408,1996
1720,-628,1320
1016,-252,1960
344,180,1592
-276,1240,944
-672,3308,1864
-884,4572,3360
-140,4840,3504
516,3908,3432
1556,2276,1340
1384,1324,348
1856,-1448,-516
2664,-1884,344
2064,-1416,1140
1352,-1856,1296
1444,-424,1628
368,860,2064
-1024,1908,1708
-2208,3672,2836
-1592,4268,4936
-492,3652,4148
676,2124,1396
1844,604,956
2784,-1672,-600
2308,-1928,-40
1364,-1120,428
452,-472,576
304,100,316
100,-264,548
-864,1060,1792
-1312,2560,3260
-652,3852,4856
12,4080,4532
1040,3260,2580
1464,2040,580
1224,280,56
1136,-1228,-928
1004,-1692,-256
1636,-612,1096
2212,-688,3344
2420,-892,2380
1440,-468,2340
896,324,1540
132,2424,1020
-512,4192,2760
76,4768,4172
88,5000,4396
904,3492,2872
2024,952,-588
1820,-1208,-892
1888,-2168,-1208
1788,-952,604
1268,-88,1248
1136,-240,900
580,16,1684
-260,776,1280
-1292,2212,2104
-928,2840,3220
-1016,3180,4708
-244,3236,3772
988,2640,2192
1732,1496,108
1880,-88,396
1504,-1644,-524
1496,-1556,156
1384,-1012,1200
1300,-1632,2004
728,496,2616
432,608,1236
560,472,920
428,1404,1488
72,2700,2120
-284,3496,3360
-236,4448,3520
240,4264,3760
1596,2744,2644
1676,1388,272
1284,-780,552
1652,-1692,-1124
1824,-1548,-204
2076,-604,1076
1976,-404,1428
1372,188,1332
1192,-480,864
364,1320,1772
-596,1916,1588
-1644,3344,2756
-1600,3996,4356
-1272,4012,4984
332,2812,3560
1768,1752,1204
2336,1184,992
2224,-728,284
1692,-852,680
1564,-620,1064
900,-716,1064
1212,-780,308
-696,64,2552
612,-256,980
1068,1784,1364
640,2776,1508
-364,3380,2908
-432,4396,4492
-516,4088,3936
688,2744,2524
1576,1884,924
1672,1204,1440
1580,-1160,400
1000,-1012,416
944,-1064,464
1260,-772,896
1240,-988,1496
1392,-720,1644
1208,-120,2360
616,1892,584
656,4528,-436
376,4912,2228
32,3992,1172
-416,2952,184
-548,2188,152
-280,1680,344
-504,884,624
-608,516,348
-228,1200,1820
3344,2848,2004
-12,168,1380
576,316,944
956,-216,-884
332,-1116,-136
-180,-1828,-360
-256,-972,-636
-436,-260,-308
8,-732,-556
244,348,-668
176,612,272
620,1744,1824
-680,2168,2344
-1552,1212,1588
-1516,1380,1480
-100,-928,-432
-832,1192,1356
-836,980,428
-532,856,48
-488,904,232
-528,752,312
-612,880,180
-704,948,300
-584,876,112
-464,976,-188
-544,764,88
-404,1148,-396
-348,944,-392
-256,928,-412
-116,780,-728
-128,560,-668
-92,732,-840
-84,624,-992
-68,556,-908
8,500,-952
52,460,-1016
68,380,-932
76,320,-932
84,316,-948
92,320,-920
80,252,-904
84,228,-984
124,220,-972
120,176,-908
132,148,-924
156,100,-988
172,148,-912
240,128,-1004
292,76,-1040
304,48,-976
280,16,-964
256,20,-968
240,-24,-920
220,-16,-908
292,36,-2148
432,56,-2828
360,-16,-188
236,-88,2300
184,-36,-560
156,16,-928
132,36,-960
-8,-124,3840
-88,-72,2936
-80,76,520
-12,100,-1280
32,140,-976
16,176,-952
44,204,-984
196,220,-988
64,160,-960
136,172,-900
-28,-60,-792
56,156,-912
52,112,-960
24,156,-968
12,160,-1044
40,156,-1084
44,164,-1024
-12,148,-1004
32,188,-960
60,148,-884
236,88,-884
656,-432,-712
436,20,-772
492,200,-768
544,348,-732
524,408,-692
468,468,-636
428,568,-624
376,600,-604
568,588,-768
776,768,-924
800,728,-868
732,500,-800
652,448,-764
636,496,-796
636,456,-832
608,488,-852
656,376,-940
684,316,-872
696,240,-772
672,220,-728
600,156,-696
548,152,-704
516,152,-748
516,120,-784
500,88,-816
468,76,-860
580,56,-728
368,116,-824
456,208,-904
156,276,-852
296,144,-864
248,24,-900
296,216,-948
168,180,-876
80,336,-952
220,16,-1024
128,36,-956
44,84,-940
92,160,-952
28,132,-944
-24,104,-952
