# run=20260922_151547,timestamp=1790082947,balls=7,catches=7,sampleRate=25,units=milli_g,source=watch,countMode=watch_hand,detectedAtCapture=7
x,y,z
396,112,-900
364,104,-868
352,104,-876
324,124,-916
300,124,-944
308,172,-984
328,136,-988
244,148,-912
192,144,-924
132,164,-928
136,180,-980
232,80,-912
164,76,-1072
-20,224,-1016
116,224,-968
80,152,-1012
64,168,-972
4,200,-1012
-168,100,-940
-40,108,-996
20,100,-1008
168,136,-996
116,396,-1268
188,168,-1044
-24,-148,-1036
-128,-236,-900
-248,36,-852
-388,-8,-876
-224,80,-832
488,308,-1152
120,148,-992
156,104,-952
120,108,-952
128,80,-956
132,84,-952
144,56,-952
144,-12,-940
168,-152,-896
160,-236,-844
216,16,-872
260,396,-848
236,644,-708
204,940,-476
104,1412,-280
-4,1508,-184
-8,1312,16
-36,1276,228
-44,1196,248
-20,1112,244
-48,1044,332
-56,952,232
-96,992,140
-164,960,136
-200,948,124
-212,824,116
-248,740,76
-256,632,104
-204,528,192
-80,396,180
44,372,284
128,328,392
240,648,296
80,1244,744
-492,2812,984
-772,2692,1020
-596,2400,980
-112,1944,980
340,1236,904
516,792,800
684,116,516
820,-816,56
984,-1516,304
1172,-1492,676
1260,-272,1140
952,1736,1652
-372,4072,1656
-1424,5188,2180
-1536,5392,2052
-448,4352,1992
812,2936,1652
1916,-164,1196
2944,-3140,732
2972,-3416,756
2224,-1912,980
1600,252,1644
-144,2780,2192
-3252,4548,2888
-2968,5984,3376
-1972,4880,2920
192,2776,2104
2988,-948,788
4880,-3440,228
3952,-3172,176
2340,-1008,908
1304,1120,2240
-2352,3700,3892
-4048,4680,4228
-2036,4308,4372
-392,2952,2416
2412,1780,1340
3656,-1568,-384
1844,-1544,232
648,-2080,460
-724,-564,1148
-572,-940,708
208,-324,128
636,1140,1052
468,1912,2160
-1052,3000,2660
-1536,4172,3444
-1092,4140,4528
792,2448,2556
1928,1320,2104
2364,-220,932
1632,-720,944
1204,-1468,448
1376,-1452,984
1852,-1800,1124
1676,784,1168
632,1172,368
-2252,4184,1272
-2472,5340,5012
-1308,4828,5260
936,3064,1144
2828,1136,428
3868,-2420,-1416
2700,-2272,404
936,-1472,3256
-36,-900,2108
424,768,1816
112,1284,1780
-852,2472,1816
-2132,3664,2936
-1368,5036,3964
228,3648,2720
2072,2412,920
2564,584,1244
2376,-1580,268
1364,-1812,456
1020,-1476,2220
1360,-976,3172
2128,-192,1936
-12,2204,1624
-2396,4252,2820
-1484,5372,4568
-740,4536,4620
1036,2804,1564
2080,900,688
2544,-1728,-1288
1960,-2012,4
2036,-1664,736
1568,-848,2196
816,-552,1804
892,1228,2032
-996,2924,2640
-1876,4116,3152
-1808,5084,4224
-60,4144,2740
1612,2876,472
2444,1288,436
2064,-1300,-1100
1740,-1728,-408
1908,-884,2080
1220,-944,3676
1216,128,3268
1548,4,2428
620,1152,1704
1284,1636,640
172,3480,1324
-992,4368,2168
-944,5596,3732
312,4380,3404
1688,2180,1888
1772,1140,1980
2248,624,1456
1208,1036,1396
416,-344,648
-448,-440,1012
-380,-592,1264
4,-232,788
24,-564,-44
52,652,40
-380,-484,1988
-464,-444,1620
-716,-496,1340
-780,-676,1076
-700,-668,712
-740,-888,412
-960,-780,208
-1036,-796,104
-1044,-764,72
-1120,-676,20
-1012,-132,-340
-964,-404,-388
-844,-480,-32
-744,-384,-104
-624,-796,60
-588,-812,224
-472,-744,264
-392,-788,392
-352,-676,424
-300,-616,432
-300,-704,428
-280,-544,304
-208,-368,180
-148,-288,144
44,172,-60
124,-252,452
672,268,2212
568,204,768
3132,2316,560
2568,3360,-1228
1608,1856,-2192
1116,1664,-2368
1072,1236,-2652
920,1084,-2380
768,608,-2048
676,592,-1612
628,432,-1088
492,220,-876
348,224,-744
260,84,-640
176,52,-688
132,172,-712
112,160,-732
128,96,-824
72,140,-808
72,84,-836
64,64,-872
72,120,-888
76,88,-908
48,52,-948
12,108,-964
12,56,-936
-24,32,-952
-40,44,-948
-60,24,-916
-96,48,-1012
-60,60,-1012
-12,20,-1004
28,40,-1016
80,36,-980
80,48,-952
72,96,-984
152,84,-956
80,48,-1020
68,112,-1028
56,92,-1052
-8,92,-1044
36,112,-1060
