# run=20260922_154237,timestamp=1790084557,balls=7,catches=11,sampleRate=25,units=milli_g,source=watch,countMode=watch_hand,detectedAtCapture=9
x,y,z
720,-36,-788
252,212,-896
512,216,-916
468,100,-836
388,80,-768
476,68,-884
408,88,-900
312,52,-904
320,24,-880
284,12,-932
292,44,-984
336,32,-976
316,0,-924
300,12,-904
432,28,-888
516,256,-984
80,-372,-872
160,-376,-828
-160,-464,-864
-156,-288,-844
480,316,-1344
304,112,-1000
104,24,-988
104,52,-916
92,-72,-884
80,-272,-776
108,-192,-612
108,148,-480
132,532,-380
176,1008,-188
80,1764,60
-80,1788,228
-132,1512,304
-176,1452,332
-196,1384,372
-140,1224,500
-44,984,340
32,904,236
40,932,204
-8,920,248
-68,988,204
-132,976,284
-180,960,268
-144,848,232
-104,632,144
-48,264,208
16,64,240
116,248,256
180,600,484
-144,1540,816
-616,2704,688
-764,2760,688
-476,2476,808
-40,1624,708
244,936,592
360,160,396
576,-656,40
748,-1204,280
992,-1064,688
1180,-276,1132
1256,1036,1724
292,3064,1428
-652,4380,1148
-1220,5280,1004
-768,4836,1516
592,3692,1736
1332,1628,1492
2056,-2144,672
2724,-3492,784
2508,-2828,1084
1952,-836,1284
1136,1680,2200
-1460,3908,2412
-2940,5492,3164
-2340,5372,2936
-596,4060,2660
1720,1240,1296
3780,-2748,904
4016,-3548,932
2716,-2076,856
1824,208,1412
-432,2392,3052
-3816,4656,3576
-3108,5000,4836
-740,3196,2124
2056,1520,512
3364,-2128,-1376
1120,-1868,120
68,-1660,1208
-564,-408,1700
-36,-100,856
712,424,700
476,1624,1720
-644,2884,2228
-1676,3604,2396
-1468,3988,3648
208,2516,2852
1104,1656,1612
1492,-184,788
1148,-1096,-28
1024,-1188,260
1500,-1052,76
1716,-936,748
1480,-616,1420
1264,880,1092
-2188,2792,1832
-4064,5196,3480
-2500,5020,4684
1192,3704,1044
3616,1716,1224
4576,-1084,-92
3204,-1972,456
2084,-1860,2000
748,-1176,4056
744,740,3168
592,1108,4228
172,2076,2748
-996,3828,3268
-180,4964,3700
1436,3852,2128
2224,2968,264
2920,360,616
2428,-2092,-344
1836,-2136,1136
704,-912,3060
784,-968,2008
676,520,1884
500,1464,2152
-1172,3856,1716
-2112,5556,3812
-1060,4956,3164
1064,2884,908
1952,388,1232
2460,-1464,-192
1988,-1820,704
1192,-1008,1132
780,-512,920
1304,-264,308
-892,2408,2596
-2628,4192,2628
-2388,5184,5088
-276,3944,2360
1396,2312,464
2260,-756,-268
2488,-1876,-980
2132,-1036,960
1464,-444,2508
1836,-988,1628
984,768,2988
244,1164,2308
-1752,3156,2136
-2556,4916,2456
-1780,5444,3112
396,3652,1780
2144,2452,1052
2896,-664,164
2240,-1508,428
1444,-1860,860
112,-1108,1772
1088,-1080,48
56,556,1680
116,2148,1540
-1940,4112,2500
-2276,5488,3832
-776,4432,2260
1680,3032,0
2832,-200,380
2236,-1388,-628
1788,-1716,1192
1056,-1076,2972
1520,-916,2688
968,720,2572
68,1132,1892
-1464,2928,1316
-2444,4940,2816
-1652,5480,3408
268,3564,1648
1820,2064,1596
1608,-28,624
592,-644,-132
72,-780,-524
-148,-884,-804
-144,-1088,-876
276,-1168,-1120
932,-672,8
2460,-220,1064
2216,520,2524
-24,1356,2616
740,64,2276
1548,524,888
264,684,900
300,1176,124
272,2016,260
160,2872,140
-368,3148,588
-836,3444,608
-964,3376,760
-644,2816,660
-376,2024,320
-52,1276,0
484,368,76
1124,952,880
1132,888,968
880,624,1544
1164,392,2616
1236,-568,896
380,52,772
-340,-320,1076
-1092,816,312
-1304,1504,-364
-1040,1972,-524
-452,2176,-316
-28,2056,-524
-364,1444,468
-116,1144,548
-52,748,756
-268,2012,-1028
104,980,-1580
-660,536,-628
-372,636,-492
-548,644,-40
-800,716,-96
-736,812,-264
-744,532,-148
-644,472,-380
-516,540,-472
-448,536,-464
-348,636,-660
-244,728,-736
-224,720,-880
-172,576,-1052
-108,380,-1052
-56,328,-1060
0,356,-1164
20,268,-1148
-16,328,-1080
16,276,-1148
104,176,-1068
128,196,-972
124,180,-988
172,92,-984
220,68,-964
276,64,-992
300,-80,-884
344,-72,-836
292,68,-980
288,-64,-884
272,-36,-824
248,12,-920
252,-72,-900
256,-12,-940
228,-56,-1004
236,-28,-1028
188,64,-1068
120,40,-1136
56,100,-1156
80,104,-1056
104,108,-1000
84,76,-992
60,72,-932
32,44,-884
32,48,-880
24,32,-856
12,8,-868
20,-8,-904
48,-20,-932
88,-16,-964
104,-32,-988
120,-56,-996
136,-52,-1008
100,-88,-1012
72,-116,-1004
56,-104,-1008
72,-108,-1040
104,-72,-1076
