# run=20260922_154319,timestamp=1790084599,balls=7,catches=10,sampleRate=25,units=milli_g,source=watch,countMode=watch_hand,detectedAtCapture=8
x,y,z
112,80,-996
84,68,-936
64,12,-944
32,44,-948
-8,32,-948
-76,-36,-992
148,84,-1016
412,164,-916
380,8,-912
232,124,-956
228,128,-936
208,112,-920
204,72,-900
184,92,-904
200,44,-948
228,-60,-944
196,-24,-868
160,88,-848
220,432,-820
256,804,-768
236,932,-688
248,996,-528
220,1248,-300
116,1208,-180
76,1204,4
68,1076,148
76,1040,196
48,1008,224
24,1004,180
48,1024,184
16,976,184
-12,952,136
-28,984,252
-52,1004,316
-108,1000,308
-128,1024,300
-128,996,292
-144,1008,300
-184,1012,300
-272,1000,272
-304,1020,280
-320,1008,288
-340,1000,260
-352,988,260
-336,960,284
-336,976,236
-352,984,268
-356,952,224
-356,952,192
-376,956,188
-376,928,164
-380,900,160
-348,832,136
-264,692,108
-144,452,124
-12,208,240
68,160,316
136,448,192
16,984,504
-340,2160,756
-744,2776,604
-796,2860,756
-316,2360,936
200,1752,968
472,972,724
500,32,536
616,-804,236
836,-1404,540
1064,-1096,816
1260,-96,1212
880,1616,1624
-580,3916,1200
-1420,5380,1404
-1472,5440,1500
-348,4384,1804
908,2756,1556
1892,-936,1256
2908,-3684,1028
2864,-3400,1268
2140,-1420,1496
1636,1392,2052
-1120,3868,2260
-3192,5688,3064
-2736,5784,2644
-1004,4104,2264
1252,1588,1524
3312,-2152,912
3920,-3332,892
2876,-2472,956
1984,-468,1344
1100,1756,2276
-2764,3936,3344
-3392,5364,4460
-2344,4164,4180
1192,2740,1156
3572,-320,1016
2400,-1444,-388
-32,-1968,608
-140,-1632,388
-788,-860,556
760,-476,-92
1108,808,1336
488,1924,2356
-952,3052,2580
-1840,3880,2624
-1408,3888,3896
320,2428,3124
1228,1360,1364
1120,-336,840
988,-1240,-696
1360,-1340,-212
2320,-744,532
2444,-472,1436
2192,-260,972
380,888,1724
-4100,3228,2184
-4060,5440,5536
-1792,4992,3748
2264,3700,152
4224,-448,652
2556,-1876,352
1196,-1824,2280
772,-1112,3384
1248,-684,2708
1012,1532,2652
-220,3088,1768
-1640,4712,2836
-752,5644,4040
516,4804,1828
1336,2988,-60
1184,-508,-1116
896,-2644,-1968
1356,-2244,60
2660,-472,1952
2848,-284,3472
2416,-556,712
2176,12,1576
1200,684,1492
-1076,3232,876
-2452,5308,2144
-2188,5504,3480
-1196,4440,2524
1564,1976,1144
3660,-1156,1108
3304,-1940,-312
1652,-1668,252
900,-688,596
1188,-376,672
-1176,2132,2396
-3012,3140,2956
-2616,4412,4916
-1196,3492,4316
1260,2244,1516
2496,1000,1916
2816,-1340,488
1440,-1728,800
588,-1152,1364
924,-416,1288
192,-572,2324
1748,1056,540
68,3784,508
-1484,4004,2832
-1528,5204,5052
-612,4064,3148
980,2300,624
1148,-416,-672
1180,-1360,-816
1792,-1716,-660
1700,-612,1380
2080,344,2392
2480,-552,1616
824,880,2440
-856,1556,804
-2012,4240,1236
-1980,6100,4472
-576,4596,3232
1888,3520,848
2416,904,204
1472,-1648,-1176
904,-780,364
920,-308,2140
24,-620,2844
-56,-212,1388
432,272,548
-1388,1064,1508
-924,340,-644
-1944,320,-1152
-2172,688,-1204
-1688,700,-840
-1176,720,-624
-888,1152,436
-492,1220,1764
288,256,2500
-544,1116,820
-136,-152,260
-124,-1588,360
-136,-2512,356
520,-1560,256
1128,-164,368
1912,604,908
3132,812,1016
4224,1936,1020
4384,2228,840
4228,1588,728
3812,1176,-300
3164,232,-840
2640,-1012,-1416
1584,-1036,-1300
1028,532,-1112
872,500,-688
892,504,-220
1048,464,-8
1276,188,16
1712,524,296
1860,864,312
2000,1056,172
1780,696,148
1308,712,268
1100,728,168
996,584,136
808,560,100
652,672,88
572,688,-12
528,632,-108
492,536,-140
572,620,-236
700,680,-448
824,588,-656
920,400,-780
956,276,-812
976,188,-880
920,148,-868
828,60,-836
848,-76,-976
400,224,-768
496,432,-716
480,-32,-804
276,52,-792
176,160,-716
304,112,-792
184,124,-804
132,44,-892
72,104,-960
44,140,-1012
16,224,-1060
-56,300,-1040
-120,308,-992
-96,312,-988
-176,216,-1004
-108,216,-956
