# run=20260922_153715,timestamp=1790084235,balls=5,catches=11,sampleRate=25,units=milli_g,source=watch,countMode=watch_hand,detectedAtCapture=8
x,y,z
320,40,-928
228,24,-852
268,32,-824
424,72,-900
440,152,-1016
192,-296,-908
212,-88,-896
188,12,-820
76,-136,-880
-92,-324,-892
64,-332,-948
800,-208,-848
328,-80,-828
324,40,-804
296,88,-864
136,232,-884
-4,316,-1080
-12,340,-1172
-28,192,-1168
20,156,-1144
4,216,-1032
-28,72,-992
-48,160,-948
-52,76,-936
-56,152,-912
-72,108,-900
-84,56,-936
-88,40,-860
-92,-8,-808
-68,132,-800
-84,356,-652
-64,416,-592
-16,496,-172
44,844,116
52,1192,360
112,1148,628
180,1124,952
92,1080,940
16,1168,932
-64,1840,828
-196,2396,872
-104,2696,836
80,2468,924
340,1864,840
548,1240,756
800,-32,584
636,-844,152
404,-996,248
136,-448,176
-204,400,124
-448,1032,216
-680,1260,172
-640,1248,56
-608,1176,96
-544,1160,112
-476,1092,72
-480,996,128
-464,1052,64
-428,1060,68
-328,1016,44
-184,960,-44
-100,260,-24
108,436,112
12,1160,184
-308,1504,352
-420,1164,328
-308,864,172
-324,584,484
32,552,228
100,640,680
-84,1312,1652
-304,1964,1632
-408,2612,1608
-272,2708,1548
124,2016,1176
432,1240,704
740,248,456
804,-1440,968
904,-2440,1232
868,-1232,856
728,112,1128
484,1404,1292
-208,3212,1084
-556,3712,1500
-592,4132,1496
-256,3536,1504
348,2512,1320
696,1244,1268
1152,-1608,776
1284,-2208,632
1092,-1804,768
796,-808,568
744,624,1128
-260,2324,2060
-1524,3252,2108
-1480,3556,2340
-1080,3268,2592
-24,2132,1828
628,1324,660
844,496,1020
1160,-1340,-12
984,-1328,212
680,-1204,776
876,-1748,556
588,580,1192
-108,1228,1580
-704,2916,1140
-1332,3976,2396
-992,4092,2792
-108,2920,2228
516,1520,388
376,40,-244
732,-1708,-1264
888,-1280,-216
1124,-1008,560
1664,-52,1356
1308,44,2044
828,468,1252
-252,1548,1288
-1296,2688,1024
-1460,3668,1544
-1132,3620,2648
-4,2620,2060
584,1584,432
544,896,564
720,-1668,-540
656,-1024,-360
992,-992,424
924,-840,1644
1176,-644,1572
1036,620,1884
184,1448,1792
-872,2836,904
-1328,4064,1844
-948,4424,2388
52,3464,1724
424,2012,272
552,1168,360
712,-1468,-552
768,-1272,-88
948,-1152,708
892,-520,1208
624,-680,1444
612,88,884
436,1144,1388
-720,2440,1340
-1296,2820,1956
-1232,4000,2076
-480,3632,2204
152,2268,920
152,1328,196
592,-1668,-1088
796,-1708,-808
1332,-1344,332
1576,-240,1788
1232,212,1956
916,-84,1160
640,952,1720
-576,2428,1280
-1056,3016,1192
-976,4028,1972
-204,3732,2380
660,2276,1048
916,1452,-300
1112,36,468
1048,-1656,-640
900,-1452,392
636,-1020,1828
796,-848,1792
468,304,1368
224,1552,1412
-284,2196,1484
-1148,3060,1520
-1368,3508,2152
-688,3576,2456
288,2268,1304
624,1464,528
1092,-140,-60
884,-1200,-464
604,-1272,88
644,-912,772
680,-420,1472
780,-52,1060
456,1008,1188
-496,1864,1432
-848,2644,1628
-1388,3292,2772
-824,3284,2972
72,2532,1744
780,1612,152
1092,816,400
1152,-1608,-288
1028,-948,-124
972,-940,988
324,-1500,2240
644,236,1276
-20,784,1576
-448,2012,1200
-736,3132,1696
-768,3828,2404
-100,3924,2360
284,2620,1388
408,1148,-412
-124,-4,-112
144,-1404,-672
784,-1284,28
1336,-632,948
2032,-628,1828
892,500,1548
644,88,1012
244,1368,816
-304,1740,900
-772,2820,928
-856,3004,1124
-1100,3092,1116
-672,2428,980
-252,1652,704
44,816,196
-72,124,-180
-368,388,64
-256,576,640
-168,928,1400
328,-136,1300
-104,-32,292
-340,192,284
-484,-208,96
-468,48,-400
-508,88,-580
-852,624,-420
-1020,972,-772
-1308,1056,-208
-1280,1084,-164
-1132,1088,160
-1064,1228,696
-960,1328,1080
-904,1372,1424
-864,1400,2328
-228,68,832
-116,864,448
-240,744,212
-300,104,180
-332,-144,148
-376,-476,68
-500,-412,-108
-452,-280,-364
-316,216,-764
-288,20,-960
-192,-296,-1072
-84,-148,-1156
-16,-24,-1208
