# run=20260924_170756,timestamp=1790262476,balls=6,catches=9,sampleRate=25,units=milli_g,source=watch,countMode=watch_hand,detectedAtCapture=9
x,y,z
92,-104,-944
88,-120,-964
108,-108,-984
128,-92,-1020
128,-92,-1012
140,-80,-972
112,-60,-944
60,-44,-900
12,-40,-888
24,4,-908
32,4,-940
8,-16,-980
32,-16,-1060
28,-32,-1056
48,-48,-1056
44,-72,-1068
0,-96,-1028
8,-100,-1016
-8,-68,-988
-836,404,-1584
20,-280,-956
40,-276,-960
20,-288,-964
4,-44,-1008
-448,52,-1200
96,-144,-948
28,-284,-888
76,-268,-888
124,-268,-664
124,-88,-544
196,-288,-612
184,12,-364
276,548,-244
228,1192,-72
172,1812,-180
188,1292,-128
232,1252,-364
220,1644,-240
256,1548,-520
172,1024,-236
208,900,-352
336,500,-228
284,876,-484
132,1052,-212
36,1192,152
84,1264,52
40,1268,-364
204,1136,-4112
380,836,-4196
316,788,-4328
8,1008,-1648
-336,1940,-164
-456,1840,72
-524,1380,-648
-388,688,-1136
-276,-204,-836
36,-576,-208
380,-612,-20
708,-656,352
888,-232,792
1004,284,1080
904,1164,1548
568,2260,2016
-24,3240,2580
-600,3688,2536
-296,3780,3388
292,3284,2820
988,1652,1324
1912,-1940,24
2728,-2528,-168
2372,-1904,-136
1588,-1172,-88
1096,-336,576
904,208,1156
508,1324,1888
-112,2144,2272
-1156,3296,2760
-1888,4412,3332
-1296,4460,3656
-352,3752,2920
1336,1292,920
3116,-2264,452
3764,-2228,128
2492,-1648,320
1220,-500,480
740,84,932
332,1072,1700
-780,1984,2232
-1880,2812,2432
-1820,3588,3352
-992,4072,4552
292,2996,2456
1964,2084,508
2956,-788,1092
2440,-1736,104
1016,-1960,1796
676,-1100,1924
344,336,1508
-32,252,1364
284,1648,324
-48,2264,1156
-348,2960,3180
28,3496,4284
332,3512,3516
1124,2624,3008
1376,1636,700
1092,-456,-352
1320,-2236,-1452
2100,-2180,-776
2644,-1004,652
2628,-328,2132
1428,380,2360
748,96,1512
16,916,1404
-716,2260,1300
-1276,3876,2356
-1744,4264,3372
-1036,4332,3816
384,3232,2672
1248,2360,1012
2024,444,1152
1752,-1208,-268
1440,-1264,320
1836,-896,628
1384,-684,1228
1500,-988,1680
1188,140,2684
1544,556,2700
1576,1980,2108
-940,4172,2860
-1824,5176,4356
-1244,5776,4648
-40,3392,3520
2160,2008,2096
3620,-708,2288
3200,-1740,2224
1360,-3124,2440
964,-1444,424
-160,-108,372
412,-272,-220
732,1020,-848
908,3096,-964
176,3096,840
-340,3164,3280
64,3112,4384
852,2840,3772
1616,1948,2164
1484,1280,424
1184,-2796,-1080
1736,-2908,-1376
2896,-1664,1120
2684,-372,2388
1376,212,1176
304,292,1540
356,244,1224
372,1220,1620
-492,2432,1980
-1140,3328,2396
-1408,4216,3332
-664,4184,4132
884,2916,3088
1696,2048,1256
2368,536,1656
2340,-1136,780
1516,-1152,1012
1236,-1500,1248
756,-740,1236
1284,172,284
-180,100,1476
784,824,992
844,2032,660
48,2904,2340
-372,3488,3084
-708,4072,3944
-428,4072,4824
864,2744,3048
1944,1540,1304
2464,804,1956
2908,-1740,792
1792,-1824,904
1568,-2580,912
820,384,1728
4,-96,1956
532,1496,-152
312,1952,-1144
-528,2288,44
124,2524,44
-536,3624,396
-588,2948,388
-700,2180,468
-508,1680,776
-240,1196,656
-56,900,1020
208,1856,1992
524,1636,2512
1196,372,360
1032,472,436
104,416,916
104,100,616
124,-152,460
-28,-360,772
-296,-1196,788
-600,-2188,848
-476,-1416,360
-516,-732,296
-600,-308,160
-732,-232,312
-656,84,212
-772,316,156
-792,-116,504
-692,72,824
308,64,1116
-464,428,516
204,712,88
284,992,-228
560,1288,460
988,2144,-140
748,1752,-292
704,1880,76
668,1732,-408
648,1672,-308
576,1512,-284
580,1268,-384
608,1268,-408
612,1084,-408
632,1036,-476
640,816,-644
540,792,-640
412,588,-656
308,468,-716
188,316,-724
76,220,-740
16,216,-756
24,184,-808
-20,156,-828
-80,72,-832
-108,116,-844
-140,44,-892
-116,48,-904
-76,64,-920
-128,52,-956
-128,20,-920
-144,36,-940
-164,4,-976
-128,8,-980
-100,48,-992
-128,-4,-992
-84,-56,-960
-80,-44,-964
-76,4,-948
