# run=20260923_222936,timestamp=1790195376,balls=5,catches=35,sampleRate=25,units=milli_g,source=watch,countMode=watch_hand,detectedAtCapture=34
x,y,z
-60,-24,-1004
-88,4,-1012
-100,-128,-860
-48,-44,-1000
-76,-48,-984
-76,-36,-984
-104,-24,-984
-100,-36,-984
-92,-32,-976
-92,-52,-980
-80,-44,-964
-80,-40,-976
-72,-56,-968
-80,-64,-972
-60,-48,-976
-80,-52,-968
-68,-80,-972
-68,-68,-964
-72,-72,-976
-56,-64,-968
20,-68,-968
-232,76,-1356
-252,-40,-896
-300,-180,-860
-372,-448,-756
-408,-312,-812
-512,-408,-776
-368,-304,-908
380,12,-1120
36,-32,-1108
-48,-44,-1008
-36,-40,-976
-52,-36,-976
-24,-92,-948
-16,-112,-920
0,-136,-876
24,-292,-792
100,-292,-576
104,-92,-392
112,260,-260
120,464,-52
264,824,288
388,1640,748
336,1568,648
372,1316,596
344,1188,796
364,996,740
364,856,648
392,828,588
396,916,640
372,1268,584
256,2132,604
324,2568,868
636,2324,928
860,2096,1108
912,1588,1096
1008,844,672
1064,-372,824
648,-1720,1512
824,-2176,1168
732,-1192,800
532,384,1032
124,2496,800
-268,3756,1052
-456,4296,1464
-172,3936,1448
488,2684,976
764,1448,660
1072,-2188,428
1400,-2296,444
1112,-1276,884
956,-64,656
832,1200,1164
-64,2612,1832
-1232,3256,1740
-1212,3556,2024
-588,3640,2484
460,2112,1316
820,1848,656
1424,452,480
1120,204,-268
424,-204,432
620,-900,584
192,-692,1688
-40,-160,1936
-164,-360,1012
-84,424,1564
356,1292,676
-68,2852,544
-776,3584,1588
-632,4544,2300
8,3756,1204
660,2012,-204
880,1836,516
1048,-1148,-236
800,-984,228
536,-860,1816
160,-632,2256
1188,-684,536
148,988,1688
196,2040,736
-752,3164,620
-1220,4424,1944
-368,4504,1896
200,2600,56
504,1780,320
984,-488,48
812,-1104,20
608,-1528,680
620,-1008,1088
664,-264,1532
940,572,1384
572,1756,1700
-172,2420,1400
-1116,3080,928
-1552,3784,1548
-604,3968,2048
740,2572,1200
1596,2272,1212
2388,-332,1040
1256,-556,680
-84,-1328,2180
-976,-1016,2788
-600,-260,960
-444,-60,1400
560,1004,276
268,1864,348
-364,2728,1720
-404,3592,2616
12,4052,2592
740,2244,1032
980,1676,460
1120,248,1080
772,-448,132
208,-924,520
-168,-1304,936
-244,-1796,1156
684,-808,-356
-284,60,856
444,2432,440
-516,2976,2012
-788,3920,2372
-416,3912,2532
428,2576,864
664,1908,-236
644,-156,40
228,-924,-980
96,-860,-256
396,-636,756
1176,-36,1876
1148,92,2292
764,-248,952
584,440,724
-260,1300,1012
-1180,3012,432
-1408,4600,2164
-648,4596,2132
-40,3220,72
360,1624,-464
604,-1528,-1600
1068,-1420,-1280
2020,-880,1872
1968,-584,3988
1020,548,2228
224,512,1572
72,1272,720
-452,2260,340
-1156,3276,756
-860,4328,2044
72,3940,1592
688,2132,12
880,1504,248
912,-1488,-696
612,-1148,-324
1040,-1244,920
1008,-432,2140
984,-288,1616
444,472,1480
-44,1612,1248
-412,2396,800
-1180,3696,1216
-868,4364,2196
-76,3656,1944
1092,1908,560
1948,756,1284
1652,-1152,92
544,-1656,504
